"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2015","BE","Current prices, million euro","Gross domestic product at market prices","409 407.0",""
"2015","BG","Current prices, million euro","Gross domestic product at market prices","44 162.3",""
"2015","CZ","Current prices, million euro","Gross domestic product at market prices","166 964.1",""
"2015","DK","Current prices, million euro","Gross domestic product at market prices","266 178.7",""
"2015","DE","Current prices, million euro","Gross domestic product at market prices","3 032 820.0",""
"2015","EE","Current prices, million euro","Gross domestic product at market prices","20 251.7",""
"2015","IE","Current prices, million euro","Gross domestic product at market prices","255 815.2",""
"2015","EL","Current prices, million euro","Gross domestic product at market prices","176 022.7","p"
"2015","ES","Current prices, million euro","Gross domestic product at market prices","1 075 639.0","p"
"2015","FR","Current prices, million euro","Gross domestic product at market prices","2 181 064.0","p"
"2015","HR","Current prices, million euro","Gross domestic product at market prices","43 897.0",""
"2015","IT","Current prices, million euro","Gross domestic product at market prices","1 636 371.7",""
"2015","CY","Current prices, million euro","Gross domestic product at market prices","17 420.6","p"
"2015","LV","Current prices, million euro","Gross domestic product at market prices","24 377.7",""
"2015","LT","Current prices, million euro","Gross domestic product at market prices","37 123.6",""
"2015","LU","Current prices, million euro","Gross domestic product at market prices","52 112.5",""
"2015","HU","Current prices, million euro","Gross domestic product at market prices","108 747.9",""
"2015","MT","Current prices, million euro","Gross domestic product at market prices","8 788.4",""
"2015","NL","Current prices, million euro","Gross domestic product at market prices","676 531.0","p"
"2015","AT","Current prices, million euro","Gross domestic product at market prices","339 896.0",""
"2015","PL","Current prices, million euro","Gross domestic product at market prices","427 737.4",""
"2015","PT","Current prices, million euro","Gross domestic product at market prices","179 539.9","e"
"2015","RO","Current prices, million euro","Gross domestic product at market prices","160 352.8","p"
"2015","SI","Current prices, million euro","Gross domestic product at market prices","38 570.0",""
"2015","SK","Current prices, million euro","Gross domestic product at market prices","78 070.8",""
"2015","FI","Current prices, million euro","Gross domestic product at market prices","209 149.0",""
"2015","SE","Current prices, million euro","Gross domestic product at market prices","446 945.7",""
"2015","UK","Current prices, million euro","Gross domestic product at market prices","2 575 719.2",""
"2015","IS","Current prices, million euro","Gross domestic product at market prices","15 130.2",""
