frameworkContract;country2;country1;NbProject2;NbProject1;nbLink
FP6;BE;AT;1960;3073;1309
FP6;BG;BE;3073;463;334
FP6;BG;AT;1960;463;242
FP6;CY;AT;1960;233;97
FP6;CY;BG;463;233;64
FP6;CY;BE;3073;233;160
FP6;CZ;BG;463;1076;162
FP6;CZ;AT;1960;1076;604
FP6;CZ;CY;233;1076;81
FP6;CZ;BE;3073;1076;825
FP6;DE;CZ;1076;10518;2866
FP6;DE;AT;1960;10518;5724
FP6;DE;CY;233;10518;397
FP6;DE;BE;3073;10518;7668
FP6;DE;BG;463;10518;828
FP6;DK;AT;1960;1723;731
FP6;DK;BE;3073;1723;1270
FP6;DK;CY;233;1723;92
FP6;DK;DE;10518;1723;4133
FP6;DK;BG;463;1723;205
FP6;DK;CZ;1076;1723;484
FP6;EE;AT;1960;387;162
FP6;EE;BE;3073;387;221
FP6;EE;BG;463;387;82
FP6;EE;CY;233;387;46
FP6;EE;DK;1723;387;226
FP6;EE;DE;10518;387;614
FP6;EE;CZ;1076;387;109
FP6;EL;BG;463;2332;376
FP6;EL;DE;10518;2332;5636
FP6;EL;BE;3073;2332;1719
FP6;EL;DK;1723;2332;908
FP6;EL;EE;387;2332;165
FP6;EL;AT;1960;2332;1024
FP6;EL;CY;233;2332;321
FP6;EL;CZ;1076;2332;522
FP6;ES;BE;3073;5068;3694
FP6;ES;EE;387;5068;331
FP6;ES;CZ;1076;5068;1275
FP6;ES;CY;233;5068;283
FP6;ES;AT;1960;5068;1952
FP6;ES;DK;1723;5068;1982
FP6;ES;DE;10518;5068;12096
FP6;ES;BG;463;5068;450
FP6;ES;EL;2332;5068;3113
FP6;FI;CZ;1076;1440;420
FP6;FI;DK;1723;1440;829
FP6;FI;CY;233;1440;82
FP6;FI;ES;5068;1440;1681
FP6;FI;AT;1960;1440;679
FP6;FI;DE;10518;1440;3878
FP6;FI;BG;463;1440;175
FP6;FI;EE;387;1440;206
FP6;FI;EL;2332;1440;862
FP6;FI;BE;3073;1440;1084
FP6;FR;CY;233;7888;338
FP6;FR;EL;2332;7888;4663
FP6;FR;BG;463;7888;565
FP6;FR;EE;387;7888;396
FP6;FR;DE;10518;7888;21422
FP6;FR;CZ;1076;7888;1923
FP6;FR;ES;5068;7888;9736
FP6;FR;AT;1960;7888;3131
FP6;FR;FI;1440;7888;2560
FP6;FR;BE;3073;7888;6748
FP6;FR;DK;1723;7888;2846
FP6;HR;FI;1440;152;46
FP6;HR;CY;233;152;29
FP6;HR;BE;3073;152;107
FP6;HR;BG;463;152;51
FP6;HR;AT;1960;152;92
FP6;HR;CZ;1076;152;42
FP6;HR;EL;2332;152;149
FP6;HR;DE;10518;152;252
FP6;HR;ES;5068;152;145
FP6;HR;FR;7888;152;195
FP6;HR;EE;387;152;26
FP6;HR;DK;1723;152;62
FP6;HU;EE;387;1191;152
FP6;HU;DE;10518;1191;2478
FP6;HU;EL;2332;1191;568
FP6;HU;ES;5068;1191;1378
FP6;HU;FR;7888;1191;1882
FP6;HU;BE;3073;1191;868
FP6;HU;AT;1960;1191;676
FP6;HU;HR;152;1191;73
FP6;HU;CZ;1076;1191;403
FP6;HU;FI;1440;1191;437
FP6;HU;DK;1723;1191;492
FP6;HU;BG;463;1191;265
FP6;HU;CY;233;1191;95
FP6;IE;EL;2332;906;522
FP6;IE;CZ;1076;906;186
FP6;IE;ES;5068;906;1083
FP6;IE;CY;233;906;49
FP6;IE;BE;3073;906;678
FP6;IE;FI;1440;906;338
FP6;IE;BG;463;906;96
FP6;IE;EE;387;906;83
FP6;IE;DE;10518;906;1864
FP6;IE;DK;1723;906;451
FP6;IE;AT;1960;906;373
FP6;IE;FR;7888;906;1483
FP6;IE;HR;152;906;30
FP6;IE;HU;1191;906;234
FP6;IT;FR;7888;6619;13430
FP6;IT;EL;2332;6619;4463
FP6;IT;AT;1960;6619;2715
FP6;IT;CZ;1076;6619;1672
FP6;IT;CY;233;6619;423
FP6;IT;ES;5068;6619;8753
FP6;IT;EE;387;6619;414
FP6;IT;HU;1191;6619;1742
FP6;IT;IE;906;6619;1269
FP6;IT;BG;463;6619;666
FP6;IT;DE;10518;6619;17144
