sectperf	unit	geo	time	values
BES	EUR_HAB	AT	2015-01-01	862.5
BES	EUR_HAB	BE	2015-01-01	643.7
BES	EUR_HAB	BG	2015-01-01	44.1
BES	EUR_HAB	CY	2015-01-01	15.7
BES	EUR_HAB	CZ	2015-01-01	167.5
BES	EUR_HAB	DE	2015-01-01	727.3
BES	EUR_HAB	DK	2015-01-01	879
BES	EUR_HAB	EA19	2015-01-01	418
BES	EUR_HAB	EE	2015-01-01	106.1
BES	EUR_HAB	EL	2015-01-01	51.7
BES	EUR_HAB	ES	2015-01-01	149
BES	EUR_HAB	EU28	2015-01-01	376
BES	EUR_HAB	FI	2015-01-01	739.7
BES	EUR_HAB	FR	2015-01-01	476.8
BES	EUR_HAB	HR	2015-01-01	45.4
BES	EUR_HAB	HU	2015-01-01	112.6
BES	EUR_HAB	IS	2015-01-01	651.4
BES	EUR_HAB	IT	2015-01-01	199.1
BES	EUR_HAB	LT	2015-01-01	35.6
BES	EUR_HAB	LU	2015-01-01	608.2
BES	EUR_HAB	LV	2015-01-01	19
BES	EUR_HAB	MT	2015-01-01	76.4
BES	EUR_HAB	NL	2015-01-01	448.1
BES	EUR_HAB	NO	2015-01-01	707.6
BES	EUR_HAB	PL	2015-01-01	52.9
BES	EUR_HAB	PT	2015-01-01	104
BES	EUR_HAB	RO	2015-01-01	17.3
BES	EUR_HAB	RU	2015-01-01	54.4
BES	EUR_HAB	SE	2015-01-01	1040
BES	EUR_HAB	SI	2015-01-01	315.4
BES	EUR_HAB	SK	2015-01-01	47.8
BES	EUR_HAB	UK	2015-01-01	444.5
BES	MIO_EUR	AT	2015-01-01	7396.6
BES	MIO_EUR	BE	2015-01-01	7247.08
BES	MIO_EUR	BG	2015-01-01	317.35
BES	MIO_EUR	CY	2015-01-01	13.3
BES	MIO_EUR	CZ	2015-01-01	1765.003
BES	MIO_EUR	DE	2015-01-01	59058
BES	MIO_EUR	DK	2015-01-01	4974.862
BES	MIO_EUR	EA19	2015-01-01	141494.46
BES	MIO_EUR	EE	2015-01-01	139.4
BES	MIO_EUR	EL	2015-01-01	561.41
BES	MIO_EUR	ES	2015-01-01	6920.014
BES	MIO_EUR	EU28	2015-01-01	191195.332
BES	MIO_EUR	FI	2015-01-01	4047.3
BES	MIO_EUR	FR	2015-01-01	31668.184
BES	MIO_EUR	HR	2015-01-01	191.996
BES	MIO_EUR	HU	2015-01-01	1109.625
BES	MIO_EUR	IS	2015-01-01	214.381
BES	MIO_EUR	IT	2015-01-01	12105.675
BES	MIO_EUR	LT	2015-01-01	104.068
BES	MIO_EUR	LU	2015-01-01	342.4
BES	MIO_EUR	LV	2015-01-01	37.7
BES	MIO_EUR	MT	2015-01-01	32.794
BES	MIO_EUR	NL	2015-01-01	7574
BES	MIO_EUR	NO	2015-01-01	3656.029
BES	MIO_EUR	PL	2015-01-01	2010.325
BES	MIO_EUR	PT	2015-01-01	1078.574
BES	MIO_EUR	RO	2015-01-01	344.146
BES	MIO_EUR	RU	2015-01-01	7955.299
BES	MIO_EUR	SE	2015-01-01	10137.061
BES	MIO_EUR	SI	2015-01-01	650.579
BES	MIO_EUR	SK	2015-01-01	259.189
BES	MIO_EUR	UK	2015-01-01	28839.343
BES	MIO_NAC	AT	2015-01-01	7396.6
BES	MIO_NAC	BE	2015-01-01	7247.08
BES	MIO_NAC	BG	2015-01-01	620.673
BES	MIO_NAC	CY	2015-01-01	13.3
BES	MIO_NAC	CZ	2015-01-01	48147.505
BES	MIO_NAC	DE	2015-01-01	59058
BES	MIO_NAC	DK	2015-01-01	37106
BES	MIO_NAC	EE	2015-01-01	139.4
BES	MIO_NAC	EL	2015-01-01	561.41
BES	MIO_NAC	ES	2015-01-01	6920.014
BES	MIO_NAC	FI	2015-01-01	4047.3
BES	MIO_NAC	FR	2015-01-01	31668.184
BES	MIO_NAC	HR	2015-01-01	1461.802
BES	MIO_NAC	HU	2015-01-01	343983.7
BES	MIO_NAC	IS	2015-01-01	31364
BES	MIO_NAC	IT	2015-01-01	12105.675
BES	MIO_NAC	LT	2015-01-01	104.068
BES	MIO_NAC	LU	2015-01-01	342.4
BES	MIO_NAC	LV	2015-01-01	37.7
BES	MIO_NAC	MT	2015-01-01	32.794
BES	MIO_NAC	NL	2015-01-01	7574
