"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2003","European Union (28 countries)","Total","Total","Number","490 691 578",""
"2003","European Union (27 countries)","Total","Total","Number","486 386 194",""
"2003","Euro area (19 countries)","Total","Total","Number","324 573 948",""
"2003","Euro area (18 countries)","Total","Total","Number","321 142 451",""
"2003","Belgium","Total","Total","Number","10 355 844",""
"2003","Bulgaria","Total","Total","Number","7 805 506",""
"2003","Czech Republic","Total","Total","Number","10 192 649",""
"2003","Denmark","Total","Total","Number","5 383 507",""
"2003","Germany","Total","Total","Number","82 536 680",""
"2003","Germany","Total","Total","Number","82 536 680",""
"2003","Estonia","Total","Total","Number","1 375 190",""
"2003","Ireland","Total","Total","Number","3 964 191",""
"2003","Greece","Total","Total","Number","10 915 770",""
"2003","Spain","Total","Total","Number","41 827 838",""
"2003","France","Total","Total","Number","61 864 088",""
"2003","France (metropolitan)","Total","Total","Number","60 101 841",""
"2003","Croatia","Total","Total","Number","4 305 384",""
"2003","Italy","Total","Total","Number","57 130 506",""
"2003","Cyprus","Total","Total","Number","713 720",""
"2003","Latvia","Total","Total","Number","2 299 390",""
"2003","Lithuania","Total","Total","Number","3 431 497",""
"2003","Luxembourg","Total","Total","Number","448 300",""
"2003","Hungary","Total","Total","Number","10 142 362",""
"2003","Malta","Total","Total","Number","397 296",""
"2003","Netherlands","Total","Total","Number","16 192 572",""
"2003","Austria","Total","Total","Number","8 100 273",""
"2003","Poland","Total","Total","Number","38 218 531",""
"2003","Portugal","Total","Total","Number","10 444 592",""
"2003","Romania","Total","Total","Number","21 627 509",""
"2003","Slovenia","Total","Total","Number","1 995 033",""
"2003","Slovakia","Total","Total","Number","5 374 873",""
"2003","Finland","Total","Total","Number","5 206 295",""
"2003","Sweden","Total","Total","Number","8 940 788",""
"2003","United Kingdom","Total","Total","Number","59 501 394",""
"2003","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","495 566 164",""
"2003","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","491 260 780",""
"2003","European Free Trade Association","Total","Total","Number","12 188 439",""
"2003","Iceland","Total","Total","Number","288 471",""
"2003","Liechtenstein","Total","Total","Number","33 863",""
"2003","Norway","Total","Total","Number","4 552 252",""
"2003","Switzerland","Total","Total","Number","7 313 853",""
"2003","Montenegro","Total","Total","Number","610 510",""
"2003","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 023 654",""
"2003","Albania","Total","Total","Number","3 102 781",""
"2003","Serbia","Total","Total","Number","7 490 918",""
"2003","Turkey","Total","Total","Number","66 401 851",""
"2003","Andorra","Total","Total","Number","67 159",""
"2003","Belarus","Total","Total","Number","9 898 590",""
"2003","Bosnia and Herzegovina","Total","Total","Number","3 830 349","e"
"2003","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","1 985 000",""
"2003","Moldova","Total","Total","Number","3 618 312",""
"2003","Monaco","Total","Total","Number",":",""
"2003","Russia","Total","Total","Number","145 166 731",""
"2003","San Marino","Total","Total","Number",":",""
"2003","Ukraine","Total","Total","Number","47 823 108",""
"2003","Armenia","Total","Total","Number","3 210 300",""
"2003","Azerbaijan","Total","Total","Number","8 202 500",""
"2003","Georgia","Total","Total","Number","4 352 600","e"
"2004","European Union (28 countries)","Total","Total","Number","492 555 798",""
"2004","European Union (27 countries)","Total","Total","Number","488 250 073",""
"2004","Euro area (19 countries)","Total","Total","Number","326 314 018",""
"2004","Euro area (18 countries)","Total","Total","Number","322 915 089",""
"2004","Belgium","Total","Total","Number","10 396 421",""
"2004","Bulgaria","Total","Total","Number","7 745 147",""
