"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","BE","2003","Y15-64","PC","ED0-2","39.6"
"T","BE","2003","Y15-64","PC","ED3-8","60.4"
"T","BE","2003","Y15-64","PC","ED3_4","34.8"
"T","BE","2003","Y15-64","PC","ED5-8","25.6"
"T","BE","2004","Y15-64","PC","ED0-2","37.8"
"T","BE","2004","Y15-64","PC","ED3-8","62.2"
"T","BE","2004","Y15-64","PC","ED3_4","35.4"
"T","BE","2004","Y15-64","PC","ED5-8","26.8"
"T","BE","2005","Y15-64","PC","ED0-2","36.3"
"T","BE","2005","Y15-64","PC","ED3-8","63.7"
"T","BE","2005","Y15-64","PC","ED3_4","36.5"
"T","BE","2005","Y15-64","PC","ED5-8","27.2"
"T","BE","2006","Y15-64","PC","ED0-2","35.7"
"T","BE","2006","Y15-64","PC","ED3-8","64.3"
"T","BE","2006","Y15-64","PC","ED3_4","36.4"
"T","BE","2006","Y15-64","PC","ED5-8","27.9"
"T","BE","2007","Y15-64","PC","ED0-2","34.8"
"T","BE","2007","Y15-64","PC","ED3-8","65.2"
"T","BE","2007","Y15-64","PC","ED3_4","37.1"
"T","BE","2007","Y15-64","PC","ED5-8","28.1"
"T","BE","2008","Y15-64","PC","ED0-2","33.6"
"T","BE","2008","Y15-64","PC","ED3-8","66.4"
"T","BE","2008","Y15-64","PC","ED3_4","38.0"
"T","BE","2008","Y15-64","PC","ED5-8","28.4"
"T","BE","2009","Y15-64","PC","ED0-2","32.4"
"T","BE","2009","Y15-64","PC","ED3-8","67.6"
"T","BE","2009","Y15-64","PC","ED3_4","38.1"
"T","BE","2009","Y15-64","PC","ED5-8","29.4"
"T","BE","2010","Y15-64","PC","ED0-2","32.6"
"T","BE","2010","Y15-64","PC","ED3-8","67.4"
"T","BE","2010","Y15-64","PC","ED3_4","36.7"
"T","BE","2010","Y15-64","PC","ED5-8","30.7"
"T","BE","2011","Y15-64","PC","ED0-2","31.9"
"T","BE","2011","Y15-64","PC","ED3-8","68.1"
"T","BE","2011","Y15-64","PC","ED3_4","37.7"
"T","BE","2011","Y15-64","PC","ED5-8","30.4"
"T","BE","2012","Y15-64","PC","ED0-2","31.4"
"T","BE","2012","Y15-64","PC","ED3-8","68.6"
"T","BE","2012","Y15-64","PC","ED3_4","37.4"
"T","BE","2012","Y15-64","PC","ED5-8","31.3"
"T","BE","2013","Y15-64","PC","ED0-2","30.4"
"T","BE","2013","Y15-64","PC","ED3-8","69.6"
"T","BE","2013","Y15-64","PC","ED3_4","38.1"
"T","BE","2013","Y15-64","PC","ED5-8","31.5"
"T","BE","2014","Y15-64","PC","ED0-2","29.5"
"T","BE","2014","Y15-64","PC","ED3-8","70.5"
"T","BE","2014","Y15-64","PC","ED3_4","37.8"
"T","BE","2014","Y15-64","PC","ED5-8","32.6"
"T","BE","2015","Y15-64","PC","ED0-2","28.7"
"T","BE","2015","Y15-64","PC","ED3-8","71.3"
"T","BE","2015","Y15-64","PC","ED3_4","38.7"
"T","BE","2015","Y15-64","PC","ED5-8","32.7"
"T","BG","2003","Y15-64","PC","ED0-2","34.1"
"T","BG","2003","Y15-64","PC","ED3-8","65.9"
"T","BG","2003","Y15-64","PC","ED3_4","48.2"
"T","BG","2003","Y15-64","PC","ED5-8","17.7"
"T","BG","2004","Y15-64","PC","ED0-2","34.0"
"T","BG","2004","Y15-64","PC","ED3-8","66.0"
"T","BG","2004","Y15-64","PC","ED3_4","48.1"
"T","BG","2004","Y15-64","PC","ED5-8","17.9"
"T","BG","2005","Y15-64","PC","ED0-2","33.4"
"T","BG","2005","Y15-64","PC","ED3-8","66.6"
"T","BG","2005","Y15-64","PC","ED3_4","48.8"
