sex	age	unit	isced11	geo	time	values
F	Y15-64	PC	ED0-2	AT	2016-01-01	22.2
F	Y15-64	PC	ED0-2	BE	2016-01-01	27.2
F	Y15-64	PC	ED0-2	BG	2016-01-01	21.3
F	Y15-64	PC	ED0-2	CH	2016-01-01	18.3
F	Y15-64	PC	ED0-2	CY	2016-01-01	23.4
F	Y15-64	PC	ED0-2	CZ	2016-01-01	13.8
F	Y15-64	PC	ED0-2	DE	2016-01-01	20.5
F	Y15-64	PC	ED0-2	DK	2016-01-01	25.1
F	Y15-64	PC	ED0-2	EA17	2016-01-01	29.4
F	Y15-64	PC	ED0-2	EA18	2016-01-01	29.3
F	Y15-64	PC	ED0-2	EA19	2016-01-01	29.1
F	Y15-64	PC	ED0-2	EE	2016-01-01	11.8
F	Y15-64	PC	ED0-2	EL	2016-01-01	29
F	Y15-64	PC	ED0-2	ES	2016-01-01	39.9
F	Y15-64	PC	ED0-2	EU15	2016-01-01	28
F	Y15-64	PC	ED0-2	EU27	2016-01-01	26.1
F	Y15-64	PC	ED0-2	EU28	2016-01-01	26.1
F	Y15-64	PC	ED0-2	FI	2016-01-01	16.6
F	Y15-64	PC	ED0-2	FR	2016-01-01	25.7
F	Y15-64	PC	ED0-2	HR	2016-01-01	22.6
F	Y15-64	PC	ED0-2	HU	2016-01-01	23
F	Y15-64	PC	ED0-2	IE	2016-01-01	21.9
F	Y15-64	PC	ED0-2	IS	2016-01-01	28.9
F	Y15-64	PC	ED0-2	IT	2016-01-01	39.3
F	Y15-64	PC	ED0-2	LT	2016-01-01	10.9
F	Y15-64	PC	ED0-2	LU	2016-01-01	28
F	Y15-64	PC	ED0-2	LV	2016-01-01	12.3
F	Y15-64	PC	ED0-2	MK	2016-01-01	39.1
F	Y15-64	PC	ED0-2	MT	2016-01-01	50.1
F	Y15-64	PC	ED0-2	NL	2016-01-01	28.2
F	Y15-64	PC	ED0-2	NO	2016-01-01	24
F	Y15-64	PC	ED0-2	PL	2016-01-01	14.2
F	Y15-64	PC	ED0-2	PT	2016-01-01	49.7
F	Y15-64	PC	ED0-2	RO	2016-01-01	30.1
F	Y15-64	PC	ED0-2	SE	2016-01-01	20.2
F	Y15-64	PC	ED0-2	SI	2016-01-01	18.2
F	Y15-64	PC	ED0-2	SK	2016-01-01	15.1
F	Y15-64	PC	ED0-2	TR	2016-01-01	69.3
F	Y15-64	PC	ED0-2	UK	2016-01-01	20.2
F	Y15-64	PC	ED3-8	AT	2016-01-01	77.8
F	Y15-64	PC	ED3-8	BE	2016-01-01	72.8
F	Y15-64	PC	ED3-8	BG	2016-01-01	78.7
F	Y15-64	PC	ED3-8	CH	2016-01-01	81.7
F	Y15-64	PC	ED3-8	CY	2016-01-01	76.6
F	Y15-64	PC	ED3-8	CZ	2016-01-01	86.2
F	Y15-64	PC	ED3-8	DE	2016-01-01	79.5
F	Y15-64	PC	ED3-8	DK	2016-01-01	74.9
F	Y15-64	PC	ED3-8	EA17	2016-01-01	70.6
F	Y15-64	PC	ED3-8	EA18	2016-01-01	70.7
F	Y15-64	PC	ED3-8	EA19	2016-01-01	70.9
F	Y15-64	PC	ED3-8	EE	2016-01-01	88.2
F	Y15-64	PC	ED3-8	EL	2016-01-01	71
F	Y15-64	PC	ED3-8	ES	2016-01-01	60.1
F	Y15-64	PC	ED3-8	EU15	2016-01-01	72
F	Y15-64	PC	ED3-8	EU27	2016-01-01	73.9
F	Y15-64	PC	ED3-8	EU28	2016-01-01	73.9
F	Y15-64	PC	ED3-8	FI	2016-01-01	83.4
F	Y15-64	PC	ED3-8	FR	2016-01-01	74.3
F	Y15-64	PC	ED3-8	HR	2016-01-01	77.4
F	Y15-64	PC	ED3-8	HU	2016-01-01	77
F	Y15-64	PC	ED3-8	IE	2016-01-01	78.1
F	Y15-64	PC	ED3-8	IS	2016-01-01	71.1
F	Y15-64	PC	ED3-8	IT	2016-01-01	60.7
F	Y15-64	PC	ED3-8	LT	2016-01-01	89.1
F	Y15-64	PC	ED3-8	LU	2016-01-01	72
F	Y15-64	PC	ED3-8	LV	2016-01-01	87.7
F	Y15-64	PC	ED3-8	MK	2016-01-01	60.9
F	Y15-64	PC	ED3-8	MT	2016-01-01	49.9
F	Y15-64	PC	ED3-8	NL	2016-01-01	71.8
F	Y15-64	PC	ED3-8	NO	2016-01-01	76
F	Y15-64	PC	ED3-8	PL	2016-01-01	85.8
F	Y15-64	PC	ED3-8	PT	2016-01-01	50.3
F	Y15-64	PC	ED3-8	RO	2016-01-01	69.9
F	Y15-64	PC	ED3-8	SE	2016-01-01	79.8
