CountryShort,Year,Nr. of coordinated projects,Budget of coordinated projects,Total nr. of projects,Nr. of projects as participant,Country,GDP,Population,% pop. with a secondary education,% pop. with a tertiary education,National R&D Budget,GDP / capita,Budget of coordinated projects / capita,Nr. of coordinated projects - Cumulative,Budget of coordinated projects - Cumulative,Total nr. of projects - Cumulative,Nr. of projects as participant - Cumulative,Budget of coordinated projects / capita - Cumulative
AT,2003,4,5525641,37,33,Austria, 261306300000,8100273,NA,NA,5041980000,32258.9497909515,0.682154910087598,4,5525641,37,33,0.682154910087598
AT,2004,73,176694604.86,597,524,Austria, 300408100000,8142573,59.8,15.4,5249546000,36893.510196347,21.7000946580399,77,182220245.86,634,557,22.3822495681275
AT,2005,72,171735683,482,410,Austria, 314768800000,8201359,60.5,15,6029810000,38380.0782284985,20.9399055693087,149,353955928.86,1116,967,43.3221551374362
AT,2006,89,183107038,603,514,Austria, 334589800000,8254298,60.3,14.7,6318587000,40535.2217717364,22.1832356912726,238,537062966.86,1719,1481,65.5053908287088
AT,2007,51,77232674,258,207,Austria, 386956400000,8282984,60,14.6,6867815000,46717.0285491316,9.32425729664575,289,614295640.86,1977,1688,74.8296481253546
AT,2008,94,314637226.97,555,461,Austria, 429371200000,8307989,60.4,15,7548060000,51681.7246628516,37.8716470339573,383,928932867.83,2532,2149,112.701295159312
AT,2009,78,188485788.9,413,335,Austria, 399175500000,8335003,60.2,16,7479745000,47891.4644661796,22.6137637742902,461,1117418656.73,2945,2484,135.315058933602
AT,2010,83,192679375.81,463,380,Austria, 390587700000,8351643,60.5,16.2,8066440000,46767.7677314512,23.0708347818507,544,1310098032.54,3408,2864,158.385893715453
AT,2011,105,204125829.72,591,486,Austria, 429613300000,8375164,60.6,16.3,8276335000,51296.1059628205,24.3727561299098,649,1514223862.26,3999,3350,182.758649845363
AT,2012,113,298830720.23,588,475,Austria, 407431900000,8408121,60.8,16.9,9287840000,48456.9501319022,35.5407254760011,762,1813054582.49,4587,3825,218.299375321364
AT,2013,119,365417892.01,631,512,Austria, 428364400000,8451860,60.2,17.7,9571282000,50682.8556081147,43.2352040864378,881,2178472474.5,5218,4337,261.534579407801
AT,2014,83,220131066.95,304,221,Austria, 438959800000,8506889,52.4,27.4,10099780000,51600.5087171115,25.8768001968757,964,2398603541.45,5522,4558,287.411379604677
AT,2015,121,426784039.14,601,480,Austria, 377114700000,8576261,52.3,28.1,10444160000,43971.9243619102,49.7634154487602,1085,2825387580.59,6123,5038,337.174795053437
AT,2016,122,439091072.86,637,515,Austria, 386853800000,8690076,51.8,28.6,NA,44516.733800717,50.5278748839481,1207,3264478653.45,6760,5553,387.702669937386
BE,2003,12,29475067,89,77,Belgium, 319719000000,10355844,34.8,25.6,5177444000,30873.2924134431,2.84622547423464,12,29475067,89,77,2.84622547423464
BE,2004,126,565638653.97,910,784,Belgium, 371566600000,10396421,35.4,26.8,5403617000,35739.8570142552,54.4070554636062,138,595113720.97,999,861,57.2532809378408
BE,2005,117,317387234,749,632,Belgium, 387513500000,10445852,36.5,27.2,5551553000,37097.3569221544,30.3840446906581,255,912500954.97,1748,1493,87.6373256284989
BE,2006,135,446289968.75,954,819,Belgium, 410156800000,10511382,36.4,27.9,5926513000,39020.2544251555,42.4577823115933,390,1358790923.72,2702,2312,130.095107940092
BE,2007,64,119238601.76,371,307,Belgium, 472429200000,10584534,37.1,28.1,6356931000,44633.9158625217,11.265361494422,454,1478029525.48,3073,2619,141.360469434514
BE,2008,119,313925457.24,874,755,Belgium, 520760300000,10666866,38,28.4,6812699000,48820.3657944142,29.4299616438418,573,1791954982.72,3947,3374,170.790431078356
BE,2009,94,280077163.19,677,583,Belgium, 486479700000,10753080,38.1,29.4,6924591000,45240.9635192894,26.0462270521562,667,2072032145.91,4624,3957,196.836658130512
BE,2010,155,356009520.56,868,713,Belgium, 484014400000,10839905,36.7,30.7,7487500000,44651.1662233202,32.8424945200166,822,2428041666.47,5492,4670,229.679152650529
BE,2011,141,289190836.84,907,766,Belgium, 527715600000,11000638,37.7,30.4,8171000000,47971.3631154848,26.2885513403859,963,2717232503.31,6399,5436,255.967703990915
BE,2012,161,499848791.78,983,822,Belgium, 497860000000,11094850,37.4,31.3,9153500000,44873.0717404922,45.0523253383327,1124,3217081295.09,7382,6258,301.020029329247
BE,2013,154,452385769.19,1035,881,Belgium, 520232700000,11161642,38.1,31.5,9545663000,46608.9756327967,40.5303959032193,1278,3669467064.28,8417,7139,341.550425232466
BE,2014,105,349100835.93,481,376,Belgium, 532469400000,11180840,37.8,32.6,9874579000,47623.3807120038,31.2231313505962,1383,4018567900.21,8898,7515,372.773556583063
BE,2015,164,536120137.81,962,798,Belgium, 455284400000,11237274,38.7,32.7,10072400000,40515.5556409855,47.7090918856299,1547,4554688038.02,9860,8313,420.482648468693
BE,2016,163,604629213.99,951,788,Belgium, 467083000000,11311117,38.8,32.9,NA,41294.1533537316,53.4544213440635,1710,5159317252.01,10811,9101,473.937069812756
BG,2004,7,2886842,105,98,Bulgaria,  26037300000,7745147,48.1,17.9,99319000,3361.75672327459,0.372729142519826,7,2886842,105,98,0.372729142519826
BG,2005,21,8116183,147,126,Bulgaria,  29675100000,7688573,48.8,17.8,106423000,3859.63689230758,1.05561630227092,28,11003025,252,224,1.42834544479074
BG,2006,6,2912672,139,133,Bulgaria,  34166000000,7629371,51.3,18.2,121196000,4478.21976411948,0.381770921875473,34,13915697,391,357,1.81011636666621
BG,2007,9,3032298,80,71,Bulgaria,  44471500000,7572673,52.8,18.5,139609000,5872.6291231643,0.400426375204634,43,16947995,471,428,2.21054274187085
BG,2008,7,3574426.65,146,139,Bulgaria,  54713800000,7518002,52.8,18.9,166610000,7277.70490084999,0.475449015576213,50,20522421.65,617,567,2.68599175744706
BG,2009,13,8123869.43,138,125,Bulgaria,  52050700000,7467119,53.2,19.2,184610000,6970.65360817204,1.08795231869212,63,28646291.08,755,692,3.77394407613918
BG,2010,4,222445.2,73,69,Bulgaria,  50682200000,7421766,55.1,19.7,215570000,6828.8598697399,0.0299720039677888,67,28868736.28,828,761,3.80391608010697
BG,2011,7,8321379.6,104,97,Bulgaria,  57478500000,7369431,55.9,20.1,219637000,7799.58452694652,1.12917531896289,74,37190115.88,932,858,4.93309139906986
BG,2012,6,7005000.92,96,90,Bulgaria,  53893800000,7327224,56.4,20.7,253695000,7355.28216415931,0.956023852962595,80,44195116.8,1028,948,5.88911525203246
