Org1;Org2;nbLinkTmp;Org
3999;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF CYPRUS;1;UNIVERSITE LIBRE DE BRUXELLES
7745;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITE PIERRE ET MARIE CURIE - PARIS 6;1;UNIVERSITE LIBRE DE BRUXELLES
8385;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF LEICESTER;1;UNIVERSITE LIBRE DE BRUXELLES
16876;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITEIT GENT;1;UNIVERSITE LIBRE DE BRUXELLES
21804;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITEIT MAASTRICHT;1;UNIVERSITE LIBRE DE BRUXELLES
24758;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF BRISTOL;2;UNIVERSITE LIBRE DE BRUXELLES
25197;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF SOUTHAMPTON;1;UNIVERSITE LIBRE DE BRUXELLES
26708;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF STRATHCLYDE;1;UNIVERSITE LIBRE DE BRUXELLES
29601;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF PATRAS;1;UNIVERSITE LIBRE DE BRUXELLES
31515;UNIVERSITE LIBRE DE BRUXELLES;UNIWERSYTET JAGIELLONSKI;1;UNIVERSITE LIBRE DE BRUXELLES
35588;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN;3;UNIVERSITE LIBRE DE BRUXELLES
42974;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY COLLEGE LONDON;1;UNIVERSITE LIBRE DE BRUXELLES
49627;UNIVERSITE LIBRE DE BRUXELLES;UNIWERSYTET WARSZAWSKI;3;UNIVERSITE LIBRE DE BRUXELLES
50811;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITEIT TWENTE;1;UNIVERSITE LIBRE DE BRUXELLES
52136;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF SURREY;1;UNIVERSITE LIBRE DE BRUXELLES
56952;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITETET I OSLO;1;UNIVERSITE LIBRE DE BRUXELLES
58156;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITEIT VAN AMSTERDAM;1;UNIVERSITE LIBRE DE BRUXELLES
61419;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF CAPE TOWN;1;UNIVERSITE LIBRE DE BRUXELLES
63495;UNIVERSITE LIBRE DE BRUXELLES;UNIVERZITETNI KLINICNI CENTER LJUBLJANA;1;UNIVERSITE LIBRE DE BRUXELLES
63656;UNIVERSITE LIBRE DE BRUXELLES;UPPSALA UNIVERSITET;2;UNIVERSITE LIBRE DE BRUXELLES
65548;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF YORK;2;UNIVERSITE LIBRE DE BRUXELLES
67504;UNIVERSITE LIBRE DE BRUXELLES;WINZSOFT (ISRAEL) LTD;1;UNIVERSITE LIBRE DE BRUXELLES
75459;UNIVERSITE LIBRE DE BRUXELLES;VRIJE UNIVERSITEIT BRUSSEL;1;UNIVERSITE LIBRE DE BRUXELLES
82762;UNIVERSITE LIBRE DE BRUXELLES;VLTN GCV;1;UNIVERSITE LIBRE DE BRUXELLES
85332;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF BATH;1;UNIVERSITE LIBRE DE BRUXELLES
103343;UNIVERSITE LIBRE DE BRUXELLES;USTAV FYZIKALNI CHEMIE J. HEYROVSKEHO AV CR, v. v. i.;1;UNIVERSITE LIBRE DE BRUXELLES
111016;UNIVERSITE LIBRE DE BRUXELLES;ZENTRUM FUER EUROPAEISCHE WIRTSCHAFTSFORSCHUNG GmbH;1;UNIVERSITE LIBRE DE BRUXELLES
134782;UNIVERSITE LIBRE DE BRUXELLES;WIENER INSTITUT FUR INTERNTIONALE WIRTSCHAFTSVERGLEICHE;1;UNIVERSITE LIBRE DE BRUXELLES
172309;UNIVERSITE LIBRE DE BRUXELLES;VARTA MICRO INNOVATION GMBH;1;UNIVERSITE LIBRE DE BRUXELLES
181654;UNIVERSITE LIBRE DE BRUXELLES;WAYZ BV;1;UNIVERSITE LIBRE DE BRUXELLES
181690;UNIVERSITE LIBRE DE BRUXELLES;ZANARDO SERVIZI LOGISTICI SPA;1;UNIVERSITE LIBRE DE BRUXELLES
193511;UNIVERSITE LIBRE DE BRUXELLES;UNIVERSITY OF SUNDERLAND;1;UNIVERSITE LIBRE DE BRUXELLES
63117;AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63118;CENTRO DE INVESTIGACIONES ENERGETICAS, MEDIOAMBIENTALES Y TECNOLOGICAS-CIEMAT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63119;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;UNIVERSITE LIBRE DE BRUXELLES;3;UNIVERSITE LIBRE DE BRUXELLES
63120;DANMARKS TEKNISKE UNIVERSITET;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63121;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;UNIVERSITE LIBRE DE BRUXELLES;3;UNIVERSITE LIBRE DE BRUXELLES
63122;FORSCHUNGSZENTRUM JUELICH GMBH;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
