id;Org1;Org2;nbLinkTmp;Org
37791;ICARE FINLAND OY;Teknologian tutkimuskeskus VTT Oy;1;ICARE FINLAND OY
419541;ICARE FINLAND OY;STICHTING HET NEDERLANDS KANKER INSTITUUT-ANTONI VAN LEEUWENHOEK ZIEKENHUIS;1;ICARE FINLAND OY
599161;ICARE FINLAND OY;UNIVERSITA DEGLI STUDI GABRIELE D'ANNUNZIO DI CHIETI-PESCARA;1;ICARE FINLAND OY
654791;ICARE FINLAND OY;UNIVERSIDAD DEL PAIS VASCO- EUSKAL HERRIKO UNIBERTSITATEA;1;ICARE FINLAND OY
680321;ICARE FINLAND OY;UNIVERSITA DEGLI STUDI DI PALERMO;1;ICARE FINLAND OY
919881;ICARE FINLAND OY;PHILIPS MEDICAL SYSTEMS NEDERLAND BV;1;ICARE FINLAND OY
989351;ICARE FINLAND OY;INTERUNIVERSITAIR MICRO-ELECTRONICACENTRUM IMEC VZW;1;ICARE FINLAND OY
1004061;ICARE FINLAND OY;TECHNISCHE UNIVERSITEIT EINDHOVEN;1;ICARE FINLAND OY
1050471;ICARE FINLAND OY;STMICROELECTRONICS SRL;1;ICARE FINLAND OY
1145221;ICARE FINLAND OY;PHILIPS ELECTRONICS NEDERLAND B.V.;1;ICARE FINLAND OY
1300012;ICARE FINLAND OY;VYSOKE UCENI TECHNICKE V BRNE;1;ICARE FINLAND OY
1313621;ICARE FINLAND OY;QUEST PHOTONIC DEVICES BV;1;ICARE FINLAND OY
1538701;ICARE FINLAND OY;OKMETIC OYJ;1;ICARE FINLAND OY
1569791;ICARE FINLAND OY;INSTITUT MIKROELEKTRONICKYCH APLIKACI S.R.O.;1;ICARE FINLAND OY
1882581;ICARE FINLAND OY;NORAY BIOINFORMATICS SL;1;ICARE FINLAND OY
1882731;ICARE FINLAND OY;STICHTING KEMPENHAEGHE;1;ICARE FINLAND OY
1882421;AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS;ICARE FINLAND OY;1;ICARE FINLAND OY
1882431;CONSIGLIO NAZIONALE DELLE RICERCHE;ICARE FINLAND OY;1;ICARE FINLAND OY
1882441;ACADEMISCH ZIEKENHUIS LEIDEN - LEIDS UNIVERSITAIR MEDISCH CENTRUM;ICARE FINLAND OY;1;ICARE FINLAND OY
1882451;FUNDACION TECNALIA RESEARCH & INNOVATION;ICARE FINLAND OY;1;ICARE FINLAND OY
1882461;ANTERYON BV;ICARE FINLAND OY;1;ICARE FINLAND OY
1882471;G.TEC MEDICAL ENGINEERING SPAIN SL;ICARE FINLAND OY;1;ICARE FINLAND OY
1882481;IBERMATICA SA;ICARE FINLAND OY;1;ICARE FINLAND OY
