id;Org1;Org2;nbLinkTmp;Org
350910;POSIVA OY;Teknologian tutkimuskeskus VTT Oy;2;POSIVA OY
268751;POSIVA OY;UNIVERSITY OF STRATHCLYDE;1;POSIVA OY
301661;POSIVA OY;UNIVERSIDAD DE GRANADA;1;POSIVA OY
466531;POSIVA OY;UNIVERSITEIT ANTWERPEN;1;POSIVA OY
609411;POSIVA OY;THE UNIVERSITY OF MANCHESTER;1;POSIVA OY
1137331;POSIVA OY;UNIVERSITE DE MONS;1;POSIVA OY
1354601;POSIVA OY;TECHNICKA UNIVERZITA V LIBERCI;2;POSIVA OY
1497251;POSIVA OY;RADIOACTIVE WASTE MANAGEMENT LIMITED;1;POSIVA OY
1497512;POSIVA OY;Radioactive Waste Repository Authority;1;POSIVA OY
1532181;POSIVA OY;STUDIECENTRUM VOOR KERNENERGIE;1;POSIVA OY
1540251;POSIVA OY;SVENSK KARNBRANSLEHANTERING AB;2;POSIVA OY
154047;POSIVA OY;TEOLLISUUDEN VOIMA OYJ;1;POSIVA OY
1551781;POSIVA OY;RADIOACTIVE WASTE MANAGEMENT FUNDING AND RESEARCH CENTER;1;POSIVA OY
1563861;POSIVA OY;UNIVERSITE DE LIMOGES;1;POSIVA OY
1539841;AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE;POSIVA OY;1;POSIVA OY
1539851;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;POSIVA OY;1;POSIVA OY
1539861;NATURAL ENVIRONMENT RESEARCH COUNCIL;POSIVA OY;1;POSIVA OY
1539871;GOETEBORGS UNIVERSITET;POSIVA OY;1;POSIVA OY
1539881;CESKE VYSOKE UCENI TECHNICKE V PRAZE;POSIVA OY;1;POSIVA OY
1539891;EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH;POSIVA OY;1;POSIVA OY
1539901;NATIONAL NUCLEAR LABORATORY LIMITED;POSIVA OY;1;POSIVA OY
1539911;ELECTRICITE DE FRANCE;POSIVA OY;1;POSIVA OY
1539921;GEOLOGIAN TUTKIMUSKESKUS;POSIVA OY;1;POSIVA OY
1539931;HELMHOLTZ-ZENTRUM DRESDEN-ROSSENDORF EV;POSIVA OY;1;POSIVA OY
1539941;AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS;POSIVA OY;1;POSIVA OY
1539951;CENTRUM VYZKUMU REZ S.R.O.;POSIVA OY;1;POSIVA OY
1539961;INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE;POSIVA OY;1;POSIVA OY
1539972;NUCLEAR RESEARCH AND CONSULTANCY GROUP;POSIVA OY;1;POSIVA OY
1539981;MICROBIAL ANALYTICS SWEDEN AB;POSIVA OY;1;POSIVA OY
153999;AREVA NC SA;POSIVA OY;1;POSIVA OY
154000;Asociaci‚Ÿn para la Investigaci‚Ÿn y Desarrollo Industrial de los Recursos Naturales;POSIVA OY;1;POSIVA OY
1540011;DBE TECHNOLOGY GmbH;POSIVA OY;1;POSIVA OY
154002;EMPRESA NACIONAL DE RESIDUOS RADIACTIVOS S.A.;POSIVA OY;1;POSIVA OY
154003;European Underground Research Infrastructure for Disposal of Nuclear Waste in Clay Environment;POSIVA OY;1;POSIVA OY
154004;Galson Sciences Limited;POSIVA OY;1;POSIVA OY
154005;NATIONALE GENOSSENSCHAFT FUER DIE LAGERUNG RADIOAKTIVER ABFAELLE;POSIVA OY;1;POSIVA OY
154006;NATIONALE INSTELLING VOOR RADIOACTIEF AFVAL EN VERRIJKTE SPLIJSTOFFEN;POSIVA OY;1;POSIVA OY
154007;NIDIA SRL;POSIVA OY;1;POSIVA OY
