Org;Org1;Org2;Country1;Country2;activityType1;activityType2;NbProject1;NbProject2;nbLink
ADANA METROPOLITAN MUNICIPALITY;TECHNISCHE UNIVERSITAET DRESDEN;UNIVERSITY COLLEGE LONDON;DE;UK;HES;HES;82;240;6
ADANA METROPOLITAN MUNICIPALITY;TECHNISCHE UNIVERSITAET DRESDEN;UNIVERSITAET FUER BODENKULTUR WIEN;DE;AT;HES;HES;82;32;1
ADANA METROPOLITAN MUNICIPALITY;TECHNISCHE UNIVERSITAET DRESDEN;TRANSPORT FOR LONDON*TFL;DE;UK;HES;PUB;82;6;1
ADANA METROPOLITAN MUNICIPALITY;TECHNISCHE UNIVERSITAET DRESDEN;VECTOS (SOUTH) LIMITED;DE;UK;HES;PRC;82;6;1
ADANA METROPOLITAN MUNICIPALITY;UNIVERSITY COLLEGE LONDON;VECTOS (SOUTH) LIMITED;UK;UK;HES;PRC;240;6;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;UNIVERSITY COLLEGE LONDON;FR;UK;HES;HES;15;240;2
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;TECHNISCHE UNIVERSITAET DRESDEN;FR;DE;HES;HES;15;82;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;UNIVERSITAET FUER BODENKULTUR WIEN;FR;AT;HES;HES;15;32;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;KOBENHAVNS KOMMUNE;FR;DK;HES;PUB;15;10;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;MUNICIPIUL BUCURESTI;FR;RO;HES;PUB;15;2;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;TRANSPORT FOR LONDON*TFL;FR;UK;HES;PUB;15;6;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;VECTOS (SOUTH) LIMITED;FR;UK;HES;PRC;15;6;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;GREATER AMMAN MUNICIPALITY;FR;JO;HES;PUB;15;1;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;INRIX UK LIMITED;FR;UK;HES;PRC;15;1;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;INSTITUT D'AMENAGEMENT ET D'URBANISME DE LA REGION D'ILE DE FRANCE;FR;FR;HES;REC;15;1;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;SENATSVERWALTUNG FUR STADTENTWICKLUNG;FR;DE;HES;PUB;15;2;1
ADANA METROPOLITAN MUNICIPALITY;FONDATION NATIONALE DES SCIENCES POLITIQUES;TALLINNA LINN;FR;EE;HES;PUB;15;1;1
ADANA METROPOLITAN MUNICIPALITY;KOBENHAVNS KOMMUNE;UNIVERSITY COLLEGE LONDON;DK;UK;PUB;HES;10;240;1
