"countryShort" "frameworkContract" "countryLong" "nbProjectCoordinator" "nbProjectParticipant" "nbProjectParticipantCoordinator" "nbProjectHES" "nbProjectREC" "nbProjectOTH" "nbInstitution" "GDP" "population" "GDPperCapita" "nbProjectPRC" "nbProjectPUB"
"1" "AT" "FP6" "Austria" 285 1675 1960 0 0 1 984 339896 8576261 0.0396321893655055 0 0
"2" "AT" "FP7" "Austria" 563 2739 3302 1044 676 58 783 339896 8576261 0.0396321893655055 827 152
"3" "AT" "H2020" "Austria" 186 823 1009 319 227 65 374 339896 8576261 0.0396321893655055 370 63
"4" "BE" "FP6" "Belgium" 470 2603 3073 2 1 1 1235 409407 11208986 0.036524891725264 0 0
"5" "BE" "FP7" "Belgium" 783 4707 5490 1507 1239 708 1184 409407 11208986 0.036524891725264 1206 164
"6" "BE" "H2020" "Belgium" 246 1288 1534 395 359 339 589 409407 11208986 0.036524891725264 417 70
"7" "BG" "FP6" "Bulgaria" 39 424 463 2 0 0 289 44162.3 7202198 0.0061317808813365 0 0
"8" "BG" "FP7" "Bulgaria" 45 649 694 190 185 45 276 44162.3 7202198 0.0061317808813365 130 41
"9" "BG" "H2020" "Bulgaria" 16 183 199 34 63 34 133 44162.3 7202198 0.0061317808813365 47 21
"10" "CY" "FP6" "Cyprus" 25 208 233 0 0 0 107 17420.6 847008 0.0205672201443198 0 0
"11" "CY" "FP7" "Cyprus" 67 384 451 150 15 46 126 17420.6 847008 0.0205672201443198 136 25
"12" "CY" "H2020" "Cyprus" 34 142 176 71 4 30 63 17420.6 847008 0.0205672201443198 65 11
"13" "CZ" "FP6" "Czech Republic" 38 1038 1076 1 1 0 637 166964.1 10538275 0.0158435892022176 0 0
"14" "CZ" "FP7" "Czech Republic" 112 1262 1374 403 338 38 400 166964.1 10538275 0.0158435892022176 395 34
"15" "CZ" "H2020" "Czech Republic" 35 329 364 133 98 23 163 166964.1 10538275 0.0158435892022176 98 20
"16" "DE" "FP6" "Germany" 1439 9079 10518 2 3 3 4692 3032820 81197537 0.0373511329537003 0 0
"17" "DE" "FP7" "Germany" 2502 14403 16905 5109 4300 221 3731 3032820 81197537 0.0373511329537003 4372 290
"18" "DE" "H2020" "Germany" 844 3671 4515 1469 1275 201 1669 3032820 81197537 0.0373511329537003 1666 139
"19" "DK" "FP6" "Denmark" 211 1512 1723 4 0 1 694 266178.7 5659715 0.0470304070081267 0 0
"20" "DK" "FP7" "Denmark" 437 2205 2642 1271 321 49 616 266178.7 5659715 0.0470304070081267 653 168
"21" "DK" "H2020" "Denmark" 262 564 826 435 68 36 285 266178.7 5659715 0.0470304070081267 241 71
"22" "EE" "FP6" "Estonia" 23 364 387 0 1 0 211 20251.7 1313271 0.0154208080434274 0 0
"23" "EE" "FP7" "Estonia" 54 485 539 162 53 83 161 20251.7 1313271 0.0154208080434274 172 21
"24" "EE" "H2020" "Estonia" 62 142 204 74 11 35 99 20251.7 1313271 0.0154208080434274 72 12
"25" "EL" "FP6" "Greece" 347 1985 2332 0 0 0 810 176022.7 10858018 0.0162113103883232 0 0
"26" "EL" "FP7" "Greece" 640 3032 3672 906 941 40 639 176022.7 10858018 0.0162113103883232 734 70
"27" "EL" "H2020" "Greece" 158 881 1039 293 348 36 318 176022.7 10858018 0.0162113103883232 330 38
"28" "ES" "FP6" "Spain" 718 4350 5068 2 2 3 2275 1075639 46449565 0.0231571382853639 0 0
"29" "ES" "FP7" "Spain" 2160 8771 10931 2108 3456 272 2673 1075639 46449565 0.0231571382853639 2949 484
"30" "ES" "H2020" "Spain" 994 2688 3682 749 1127 163 1516 1075639 46449565 0.0231571382853639 1462 284
"31" "FI" "FP6" "Finland" 155 1285 1440 0 0 0 528 209149 5471753 0.0382233993383839 0 0
"32" "FI" "FP7" "Finland" 289 2293 2582 804 783 30 520 209149 5471753 0.0382233993383839 487 127
"33" "FI" "H2020" "Finland" 144 583 727 248 87 54 268 209149 5471753 0.0382233993383839 236 130
"34" "FR" "FP6" "France" 1299 6589 7888 1 3 1 3193 2181064 66415161 0.0328398511297744 0 0
"35" "FR" "FP7" "France" 2102 9900 12002 1904 4649 360 2468 2181064 66415161 0.0328398511297744 3276 381
"36" "FR" "H2020" "France" 661 2404 3065 546 1209 203 1157 2181064 66415161 0.0328398511297744 1114 178
"37" "HR" "FP6" "Croatia" 9 143 152 0 0 0 108 43897 4225316 0.0103890454583752 0 0
"38" "HR" "FP7" "Croatia" 40 365 405 109 77 5 171 43897 4225316 0.0103890454583752 103 38
"39" "HR" "H2020" "Croatia" 16 143 159 42 49 9 93 43897 4225316 0.0103890454583752 24 36
"40" "HU" "FP6" "Hungary" 111 1080 1191 4 0 0 659 108747.9 9855571 0.0110341552001401 0 0
"41" "HU" "FP7" "Hungary" 173 1375 1548 504 396 44 404 108747.9 9855571 0.0110341552001401 354 96
"42" "HU" "H2020" "Hungary" 61 278 339 92 74 28 186 108747.9 9855571 0.0110341552001401 120 36
"43" "IE" "FP6" "Ireland" 171 735 906 0 0 0 400 255815.2 4628949 0.055264207922792 0 0
"44" "IE" "FP7" "Ireland" 421 1477 1898 876 125 37 438 255815.2 4628949 0.055264207922792 466 69
"45" "IE" "H2020" "Ireland" 195 423 618 324 36 18 219 255815.2 4628949 0.055264207922792 220 37
"46" "IT" "FP6" "Italy" 914 5705 6619 2 0 2 2969 1636371.7 60795612 0.0269159507761843 0 0
"47" "IT" "FP7" "Italy" 1689 9694 11383 3134 2541 212 2521 1636371.7 60795612 0.0269159507761843 3121 337
"48" "IT" "H2020" "Italy" 724 2626 3350 963 739 146 1389 1636371.7 60795612 0.0269159507761843 1357 237
"49" "LT" "FP6" "Lithuania" 21 323 344 0 0 0 198 37123.6 2921262 0.0127080693207251 0 0
"50" "LT" "FP7" "Lithuania" 28 388 416 154 63 9 146 37123.6 2921262 0.0127080693207251 81 57
"51" "LT" "H2020" "Lithuania" 22 105 127 37 22 11 71 37123.6 2921262 0.0127080693207251 32 25
"52" "LU" "FP6" "Luxembourg" 14 97 111 0 0 0 73 52112.5 562958 0.0925690726484036 0 0
"53" "LU" "FP7" "Luxembourg" 31 211 242 24 36 24 71 52112.5 562958 0.0925690726484036 76 19
"54" "LU" "H2020" "Luxembourg" 20 106 126 25 14 21 58 52112.5 562958 0.0925690726484036 56 12
"55" "LV" "FP6" "Latvia" 10 209 219 0 0 2 125 24377.7 1986096 0.0122741801000556 0 0
"56" "LV" "FP7" "Latvia" 28 303 331 119 102 10 98 24377.7 1986096 0.0122741801000556 35 30
"57" "LV" "H2020" "Latvia" 15 94 109 32 21 7 58 24377.7 1986096 0.0122741801000556 24 25
"58" "MT" "FP6" "Malta" 7 124 131 0 0 0 63 8788.4 429344 0.0204693672206902 0 0
"59" "MT" "FP7" "Malta" 23 165 188 40 6 7 51 8788.4 429344 0.0204693672206902 51 62
"60" "MT" "H2020" "Malta" 6 49 55 18 1 4 28 8788.4 429344 0.0204693672206902 16 17
"61" "NL" "FP6" "Netherlands" 662 3431 4093 0 0 2 1643 676531 16900726 0.0400297004992567 0 0
"62" "NL" "FP7" "Netherlands" 1252 6210 7462 3283 1569 145 1542 676531 16900726 0.0400297004992567 1757 230
"63" "NL" "H2020" "Netherlands" 512 1685 2197 965 309 204 786 676531 16900726 0.0400297004992567 780 81
"64" "otherCountry" "FP6" "otherCountry" 677 8052 8729 9 16 2 5164 22030062.3 176293319 0.124962547786624 0 0
"65" "otherCountry" "FP7" "otherCountry" 2181 13096 15277 6602 3086 400 5064 22030062.3 176293319 0.124962547786624 2660 1061
"66" "otherCountry" "H2020" "otherCountry" 470 2445 2915 1292 574 165 1484 22030062.3 176293319 0.124962547786624 765 296
"67" "PL" "FP6" "Poland" 197 1704 1901 3 0 3 1044 427737.4 38005614 0.0112545846516254 0 0
"68" "PL" "FP7" "Poland" 224 1941 2165 740 567 25 608 427737.4 38005614 0.0112545846516254 420 93
"69" "PL" "H2020" "Poland" 91 502 593 187 130 48 318 427737.4 38005614 0.0112545846516254 173 56
"70" "PT" "FP6" "Portugal" 107 1063 1170 0 0 2 652 179539.9 10374822 0.0173053475037933 0 0
"71" "PT" "FP7" "Portugal" 308 1999 2307 585 593 89 567 179539.9 10374822 0.0173053475037933 557 123
"72" "PT" "H2020" "Portugal" 139 659 798 198 229 46 325 179539.9 10374822 0.0173053475037933 248 99
"73" "RO" "FP6" "Romania" 44 565 609 1 3 5 435 160352.8 19870647 0.00806983285446116 0 0
"74" "RO" "FP7" "Romania" 62 1009 1071 233 255 29 383 160352.8 19870647 0.00806983285446116 284 114
"75" "RO" "H2020" "Romania" 28 315 343 60 104 43 200 160352.8 19870647 0.00806983285446116 86 51
"76" "SE" "FP6" "Sweden" 329 2334 2663 4 2 0 950 446945.7 9747355 0.0458530237177162 0 0
"77" "SE" "FP7" "Sweden" 568 3720 4288 2080 469 45 881 446945.7 9747355 0.0458530237177162 989 266
"78" "SE" "H2020" "Sweden" 202 816 1018 503 113 22 371 446945.7 9747355 0.0458530237177162 332 75
"79" "SI" "FP6" "Slovenia" 31 587 618 2 0 0 331 38570 2062874 0.0186972156321714 0 0
"80" "SI" "FP7" "Slovenia" 56 866 922 212 237 7 267 38570 2062874 0.0186972156321714 200 100
"81" "SI" "H2020" "Slovenia" 59 269 328 59 90 22 161 38570 2062874 0.0186972156321714 128 31
