ID;country1;country2;nbLinkTmp;frameworkContract;weight
1;EE;EE;71;FP6;0.0033143497339184
2;AT;EE;162;FP6;0.0075623191111941
3;BE;EE;221;FP6;0.0103164970590981
4;DE;EE;614;FP6;0.028662123051069
5;CH;EE;131;FP6;0.00611520866399029
6;CY;EE;46;FP6;0.00214732517972178
7;CZ;EE;109;FP6;0.00508822705629726
8;DK;EE;226;FP6;0.0105499019699374
9;CN;EE;23;FP6;0.00107366258986089
10;CA;EE;4;FP6;0.000186723928671459
11;AU;EE;5;FP6;0.000233404910839324
13;AL;EE;4;FP6;0.000186723928671459
14;BA;EE;6;FP6;0.000280085893007189
15;BG;EE;82;FP6;0.00382784053776491
16;CL;EE;4;FP6;0.000186723928671459
17;AR;EE;5;FP6;0.000233404910839324
18;BR;EE;12;FP6;0.000560171786014378
19;AM;EE;3;FP6;0.000140042946503594
20;AZ;EE;1;FP6;0.0000466809821678648
21;CO;EE;2;FP6;0.0000933619643357296
22;DZ;EE;7;FP6;0.000326766875175054
23;BY;EE;13;FP6;0.000606852768182243
24;CR;EE;1;FP6;0.0000466809821678648
25;EC;EE;1;FP6;0.0000466809821678648
26;BO;EE;3;FP6;0.000140042946503594
27;CM;EE;1;FP6;0.0000466809821678648
28;AT;BE;1309;FP6;0.061105405657735
29;BE;BE;1970;FP6;0.0919615348706937
30;AU;BE;54;FP6;0.0025207730370647
32;AL;BE;27;FP6;0.00126038651853235
33;BA;BE;9;FP6;0.000420128839510783
34;AR;BE;57;FP6;0.00266081598356829
35;AM;BE;5;FP6;0.000233404910839324
36;AZ;BE;3;FP6;0.000140042946503594
37;BD;BE;2;FP6;0.0000933619643357296
38;AO;BE;1;FP6;0.0000466809821678648
39;AF;BE;6;FP6;0.000280085893007189
40;AT;DE;5724;FP6;0.267201941928858
41;BE;DE;7668;FP6;0.357949771263187
42;DE;DE;17188;FP6;0.80235272150126
43;CH;DE;5787;FP6;0.270142843805434
44;CY;DE;397;FP6;0.0185323499206423
45;CZ;DE;2866;FP6;0.133787694893101
46;CN;DE;682;FP6;0.0318364298384838
47;CA;DE;264;FP6;0.0123237792923163
48;AU;DE;254;FP6;0.0118569694706377
50;AL;DE;24;FP6;0.00112034357202876
51;BA;DE;27;FP6;0.00126038651853235
52;BG;DE;828;FP6;0.0386518532349921
53;CL;DE;100;FP6;0.00466809821678648
54;AR;DE;149;FP6;0.00695546634301186
55;BR;DE;280;FP6;0.0130706750070021
56;AM;DE;15;FP6;0.000700214732517972
57;AZ;DE;6;FP6;0.000280085893007189
58;BW;DE;5;FP6;0.000233404910839324
59;CO;DE;27;FP6;0.00126038651853235
60;BY;DE;94;FP6;0.00438801232377929
62;CR;DE;17;FP6;0.000793576696853702
63;BO;DE;20;FP6;0.000933619643357296
64;BJ;DE;27;FP6;0.00126038651853235
65;CI;DE;5;FP6;0.000233404910839324
66;BD;DE;8;FP6;0.000373447857342919
67;CD;DE;4;FP6;0.000186723928671459
68;BF;DE;47;FP6;0.00219400616188965
69;CM;DE;13;FP6;0.000606852768182243
70;CG;DE;5;FP6;0.000233404910839324
71;AE;DE;1;FP6;0.0000466809821678648
72;BT;DE;8;FP6;0.000373447857342919
73;CV;DE;6;FP6;0.000280085893007189
74;AF;DE;9;FP6;0.000420128839510783
75;EE;FR;396;FP6;0.0184856689384745
76;AT;FR;3131;FP6;0.146158155167585
77;BE;FR;6748;FP6;0.315003267668752
78;DE;FR;21422;FP6;1
79;FR;FR;11291;FP6;0.527074969657362
80;EL;FR;4663;FP6;0.217673419848754
81;ES;FR;9736;FP6;0.454486042386332
82;FI;FR;2560;FP6;0.119503314349734
83;CH;FR;4075;FP6;0.190225002334049
84;CY;FR;338;FP6;0.0157781719727383
85;CZ;FR;1923;FP6;0.089767528708804
86;DK;FR;2846;FP6;0.132854075249743
87;EG;FR;122;FP6;0.00569507982447951
88;CN;FR;534;FP6;0.0249276444776398
89;CA;FR;220;FP6;0.0102698160769303
90;AU;FR;222;FP6;0.010363178041266
92;AL;FR;17;FP6;0.000793576696853702
93;BA;FR;14;FP6;0.000653533750350107
94;BG;FR;565;FP6;0.0263747549248436
95;CL;FR;87;FP6;0.00406124544860424
96;AR;FR;119;FP6;0.00555503687797591
97;BR;FR;222;FP6;0.010363178041266
98;AM;FR;11;FP6;0.000513490803846513
99;AZ;FR;2;FP6;0.0000933619643357296
100;BW;FR;3;FP6;0.000140042946503594
101;ET;FR;5;FP6;0.000233404910839324
102;CO;FR;8;FP6;0.000373447857342919
103;DZ;FR;91;FP6;0.0042479693772757
104;BY;FR;55;FP6;0.00256745401923256
106;CR;FR;12;FP6;0.000560171786014378
107;EC;FR;9;FP6;0.000420128839510783
108;BO;FR;10;FP6;0.000466809821678648
109;BJ;FR;12;FP6;0.000560171786014378
110;CI;FR;2;FP6;0.0000933619643357296
111;CD;FR;2;FP6;0.0000933619643357296
112;BF;FR;39;FP6;0.00182055830454673
113;CM;FR;14;FP6;0.000653533750350107
114;CG;FR;6;FP6;0.000280085893007189
115;CV;FR;2;FP6;0.0000933619643357296
116;DO;FR;3;FP6;0.000140042946503594
117;AF;FR;5;FP6;0.000233404910839324
118;FJ;FR;1;FP6;0.0000466809821678648
119;EE;IT;414;FP6;0.019325926617496
120;AT;IT;2715;FP6;0.126738866585753
121;BE;IT;5066;FP6;0.236485855662403
122;DE;IT;17144;FP6;0.800298758285874
123;FR;IT;13430;FP6;0.626925590514424
124;IT;IT;8148;FP6;0.380356642703762
125;EL;IT;4463;FP6;0.208337223415181
126;ES;IT;8753;FP6;0.408598636915321
127;IE;IT;1269;FP6;0.0592381663710204
128;FI;IT;2163;FP6;0.100970964429092
129;IL;IT;1161;FP6;0.054196620296891
130;HU;IT;1742;FP6;0.0813182709364205
131;CH;IT;3254;FP6;0.151899915974232
132;CY;IT;423;FP6;0.0197460554570068
133;CZ;IT;1672;FP6;0.07805060218467
134;DK;IT;2326;FP6;0.108579964522454
135;EG;IT;187;FP6;0.00872934366539072
136;CN;IT;404;FP6;0.0188591167958174
137;CA;IT;124;FP6;0.00578844178881524
138;AU;IT;143;FP6;0.00667538045000467
140;AL;IT;21;FP6;0.000980300625525161
141;BA;IT;14;FP6;0.000653533750350107
142;BG;IT;666;FP6;0.031089534123798
143;HR;IT;213;FP6;0.00994304920175521
144;CL;IT;66;FP6;0.00308094482307908
145;AR;IT;115;FP6;0.00536831294930445
146;BR;IT;173;FP6;0.00807580991504061
147;IN;IT;172;FP6;0.00802912893287275
148;IS;IT;146;FP6;0.00681542339650826
149;AM;IT;5;FP6;0.000233404910839324
150;AZ;IT;1;FP6;0.0000466809821678648
151;GE;IT;36;FP6;0.00168051535804313
152;BW;IT;6;FP6;0.000280085893007189
153;ET;IT;16;FP6;0.000746895714685837
154;CO;IT;6;FP6;0.000280085893007189
155;ID;IT;17;FP6;0.000793576696853702
156;DZ;IT;107;FP6;0.00499486509196153
157;CU;IT;1;FP6;0.0000466809821678648
158;BY;IT;46;FP6;0.00214732517972178
160;CR;IT;8;FP6;0.000373447857342919
161;EC;IT;14;FP6;0.000653533750350107
162;GT;IT;3;FP6;0.000140042946503594
163;BO;IT;7;FP6;0.000326766875175054
164;BJ;IT;3;FP6;0.000140042946503594
165;CI;IT;1;FP6;0.0000466809821678648
166;BD;IT;3;FP6;0.000140042946503594
167;CD;IT;2;FP6;0.0000933619643357296
168;BF;IT;18;FP6;0.000840257679021567
169;GN;IT;13;FP6;0.000606852768182243
170;GH;IT;11;FP6;0.000513490803846513
171;FO;IT;2;FP6;0.0000933619643357296
172;CM;IT;5;FP6;0.000233404910839324
173;GA;IT;12;FP6;0.000560171786014378
174;HK;IT;6;FP6;0.000280085893007189
175;GL;IT;1;FP6;0.0000466809821678648
176;CG;IT;5;FP6;0.000233404910839324
177;BT;IT;1;FP6;0.0000466809821678648
178;CV;IT;2;FP6;0.0000933619643357296
179;DO;IT;1;FP6;0.0000466809821678648
180;GW;IT;1;FP6;0.0000466809821678648
181;GM;IT;1;FP6;0.0000466809821678648
182;AF;IT;3;FP6;0.000140042946503594
183;FJ;IT;1;FP6;0.0000466809821678648
184;EE;UK;623;FP6;0.0290822518905798
185;AT;UK;3318;FP6;0.154887498832975
186;BE;UK;6090;FP6;0.284287181402297
187;DE;UK;20910;FP6;0.976099337130053
188;FR;UK;16345;FP6;0.76300065353375
189;IT;UK;12873;FP6;0.600924283446924
190;UK;UK;10378;FP6;0.484455232938101
191;EL;UK;4422;FP6;0.206423303146298
192;ES;UK;9703;FP6;0.452945569974792
193;IE;UK;2047;FP6;0.0955559704976193
194;FI;UK;2988;FP6;0.13948277471758
195;IL;UK;1368;FP6;0.0638595836056391
196;HU;UK;2001;FP6;0.0934086453178975
197;CH;UK;4088;FP6;0.190831855102231
198;PL;UK;3495;FP6;0.163150032676688
199;PT;UK;2363;FP6;0.110307160862665
200;SE;UK;5774;FP6;0.269535991037251
201;NL;UK;8802;FP6;0.410886005041546
202;NO;UK;3178;FP6;0.148352161329474
203;CY;UK;379;FP6;0.0176920922416208
204;CZ;UK;2196;FP6;0.102511436840631
205;RO;UK;935;FP6;0.0436467183269536
206;DK;UK;4149;FP6;0.193679395014471
207;EG;UK;62;FP6;0.00289422089440762
208;JP;UK;36;FP6;0.00168051535804313
209;CN;UK;666;FP6;0.031089534123798
210;CA;UK;267;FP6;0.0124638222388199
211;LT;UK;561;FP6;0.0261880309961722
212;TR;UK;726;FP6;0.0338903930538699
213;AU;UK;279;FP6;0.0130239940248343
214;SI;UK;879;FP6;0.0410325833255532
216;AL;UK;18;FP6;0.000840257679021567
217;BA;UK;34;FP6;0.0015871533937074
218;BG;UK;783;FP6;0.0365512090374382
219;HR;UK;205;FP6;0.00956960134441229
220;RU;UK;1064;FP6;0.0496685650266082
221;CL;UK;110;FP6;0.00513490803846513
222;SK;UK;671;FP6;0.0313229390346373
223;LV;UK;339;FP6;0.0158248529549062
224;MT;UK;143;FP6;0.00667538045000467
225;MZ;UK;14;FP6;0.000653533750350107
226;TZ;UK;37;FP6;0.001727196340211
227;AR;UK;144;FP6;0.00672206143217253
228;BR;UK;286;FP6;0.0133507609000093
