"frameworkContract" "country1" "country2" "nbLink"
"1" "FP6" "AT" "AT" 1094
"2" "FP6" "AT" "BE" 614
"3" "FP6" "AT" "BG" 131
"4" "FP6" "AT" "CY" 52
"5" "FP6" "AT" "CZ" 335
"6" "FP6" "AT" "DE" 2832
"7" "FP6" "AT" "DK" 386
"8" "FP6" "AT" "EE" 102
"9" "FP6" "AT" "EL" 512
"10" "FP6" "AT" "ES" 971
"11" "FP6" "AT" "FI" 319
"12" "FP6" "AT" "FR" 1444
"13" "FP6" "AT" "HR" 61
"14" "FP6" "AT" "HU" 344
"15" "FP6" "AT" "IE" 201
"16" "FP6" "AT" "IT" 1281
"17" "FP6" "AT" "LT" 84
"18" "FP6" "AT" "LU" 45
"19" "FP6" "AT" "LV" 72
"20" "FP6" "AT" "MT" 29
"21" "FP6" "AT" "NL" 873
"22" "FP6" "AT" "Others" 2020
"23" "FP6" "AT" "PL" 467
"24" "FP6" "AT" "PT" 252
"25" "FP6" "AT" "RO" 189
"26" "FP6" "AT" "SE" 647
"27" "FP6" "AT" "SI" 253
"28" "FP6" "AT" "SK" 160
"29" "FP6" "AT" "UK" 1578
"30" "FP6" "BE" "BE" 1970
"31" "FP6" "BE" "BG" 205
"32" "FP6" "BE" "CY" 96
"33" "FP6" "BE" "CZ" 486
"34" "FP6" "BE" "DE" 4243
"35" "FP6" "BE" "DK" 770
"36" "FP6" "BE" "EE" 139
"37" "FP6" "BE" "EL" 923
"38" "FP6" "BE" "ES" 2001
"39" "FP6" "BE" "FI" 560
"40" "FP6" "BE" "FR" 3424
"41" "FP6" "BE" "HR" 62
"42" "FP6" "BE" "HU" 507
"43" "FP6" "BE" "IE" 371
"44" "FP6" "BE" "IT" 2637
"45" "FP6" "BE" "LT" 99
"46" "FP6" "BE" "LU" 80
"47" "FP6" "BE" "LV" 90
"48" "FP6" "BE" "MT" 27
"49" "FP6" "BE" "NL" 1741
"50" "FP6" "BE" "Others" 3343
"51" "FP6" "BE" "PL" 813
"52" "FP6" "BE" "PT" 548
"53" "FP6" "BE" "RO" 242
"54" "FP6" "BE" "SE" 1175
"55" "FP6" "BE" "SI" 260
"56" "FP6" "BE" "SK" 177
"57" "FP6" "BE" "UK" 3107
"58" "FP6" "BG" "BG" 142
"59" "FP6" "BG" "CY" 29
"60" "FP6" "BG" "CZ" 77
"61" "FP6" "BG" "DE" 394
"62" "FP6" "BG" "DK" 113
"63" "FP6" "BG" "EE" 35
"64" "FP6" "BG" "EL" 160
"65" "FP6" "BG" "ES" 214
"66" "FP6" "BG" "FI" 80
"67" "FP6" "BG" "FR" 236
"68" "FP6" "BG" "HR" 33
"69" "FP6" "BG" "HU" 96
"70" "FP6" "BG" "IE" 46
"71" "FP6" "BG" "IT" 309
"72" "FP6" "BG" "LT" 56
"73" "FP6" "BG" "LU" 6
"74" "FP6" "BG" "LV" 26
"75" "FP6" "BG" "MT" 21
"76" "FP6" "BG" "NL" 193
"77" "FP6" "BG" "Others" 664
"78" "FP6" "BG" "PL" 136
"79" "FP6" "BG" "PT" 70
"80" "FP6" "BG" "RO" 133
"81" "FP6" "BG" "SE" 106
"82" "FP6" "BG" "SI" 76
"83" "FP6" "BG" "SK" 61
"84" "FP6" "BG" "UK" 328
"85" "FP6" "CY" "CY" 50
"86" "FP6" "CY" "CZ" 31
"87" "FP6" "CY" "DE" 182
"88" "FP6" "CY" "DK" 38
"89" "FP6" "CY" "EE" 18
"90" "FP6" "CY" "EL" 152
"91" "FP6" "CY" "ES" 124
"92" "FP6" "CY" "FI" 42
"93" "FP6" "CY" "FR" 139
"94" "FP6" "CY" "HR" 12
"95" "FP6" "CY" "HU" 37
"96" "FP6" "CY" "IE" 23
"97" "FP6" "CY" "IT" 169
"98" "FP6" "CY" "LT" 20
"99" "FP6" "CY" "LU" 8
"100" "FP6" "CY" "LV" 23
"101" "FP6" "CY" "MT" 18
"102" "FP6" "CY" "NL" 91
"103" "FP6" "CY" "Others" 331
"104" "FP6" "CY" "PL" 58
"105" "FP6" "CY" "PT" 52
"106" "FP6" "CY" "RO" 45
"107" "FP6" "CY" "SE" 46
"108" "FP6" "CY" "SI" 33
"109" "FP6" "CY" "SK" 26
"110" "FP6" "CY" "UK" 170
"111" "FP6" "CZ" "CZ" 341
"112" "FP6" "CZ" "DE" 1360
"113" "FP6" "CZ" "DK" 248
"114" "FP6" "CZ" "EE" 61
"115" "FP6" "CZ" "EL" 261
"116" "FP6" "CZ" "ES" 592
"117" "FP6" "CZ" "FI" 220
"118" "FP6" "CZ" "FR" 856
"119" "FP6" "CZ" "HR" 24
"120" "FP6" "CZ" "HU" 192
"121" "FP6" "CZ" "IE" 91
"122" "FP6" "CZ" "IT" 752
"123" "FP6" "CZ" "LT" 77
"124" "FP6" "CZ" "LU" 14
"125" "FP6" "CZ" "LV" 53
"126" "FP6" "CZ" "MT" 21
"127" "FP6" "CZ" "NL" 458
"128" "FP6" "CZ" "Others" 986
"129" "FP6" "CZ" "PL" 309
"130" "FP6" "CZ" "PT" 142
"131" "FP6" "CZ" "RO" 120
"132" "FP6" "CZ" "SE" 368
"133" "FP6" "CZ" "SI" 113
"134" "FP6" "CZ" "SK" 134
"135" "FP6" "CZ" "UK" 956
"136" "FP6" "DE" "DE" 17188
"137" "FP6" "DE" "DK" 2126
"138" "FP6" "DE" "EE" 380
"139" "FP6" "DE" "EL" 2985
"140" "FP6" "DE" "ES" 5971
"141" "FP6" "DE" "FI" 1915
"142" "FP6" "DE" "FR" 10175
"143" "FP6" "DE" "HR" 124
"144" "FP6" "DE" "HU" 1307
"145" "FP6" "DE" "IE" 964
"146" "FP6" "DE" "IT" 7956
"147" "FP6" "DE" "LT" 278
"148" "FP6" "DE" "LU" 144
"149" "FP6" "DE" "LV" 258
"150" "FP6" "DE" "MT" 95
"151" "FP6" "DE" "NL" 4857
"152" "FP6" "DE" "Others" 9931
"153" "FP6" "DE" "PL" 2363
"154" "FP6" "DE" "PT" 1458
"155" "FP6" "DE" "RO" 741
"156" "FP6" "DE" "SE" 3705
"157" "FP6" "DE" "SI" 724
"158" "FP6" "DE" "SK" 486
"159" "FP6" "DE" "UK" 9373
"160" "FP6" "DK" "DK" 1076
"161" "FP6" "DK" "EE" 126
"162" "FP6" "DK" "EL" 449
"163" "FP6" "DK" "ES" 982
"164" "FP6" "DK" "FI" 337
"165" "FP6" "DK" "FR" 1252
"166" "FP6" "DK" "HR" 36
"167" "FP6" "DK" "HU" 258
"168" "FP6" "DK" "IE" 209
"169" "FP6" "DK" "IT" 1052
"170" "FP6" "DK" "LT" 83
"171" "FP6" "DK" "LU" 14
"172" "FP6" "DK" "LV" 54
"173" "FP6" "DK" "MT" 19
"174" "FP6" "DK" "NL" 1069
"175" "FP6" "DK" "Others" 2049
"176" "FP6" "DK" "PL" 420
"177" "FP6" "DK" "PT" 252
"178" "FP6" "DK" "RO" 135
"179" "FP6" "DK" "SE" 703
"180" "FP6" "DK" "SI" 120
"181" "FP6" "DK" "SK" 91
"182" "FP6" "DK" "UK" 1796
"183" "FP6" "EE" "EE" 71
"184" "FP6" "EE" "EL" 69
"185" "FP6" "EE" "ES" 158
"186" "FP6" "EE" "FI" 88
"187" "FP6" "EE" "FR" 151
"188" "FP6" "EE" "HR" 12
"189" "FP6" "EE" "HU" 79
"190" "FP6" "EE" "IE" 39
"191" "FP6" "EE" "IT" 190
"192" "FP6" "EE" "LT" 60
"193" "FP6" "EE" "LU" 4
"194" "FP6" "EE" "LV" 53
"195" "FP6" "EE" "MT" 31
"196" "FP6" "EE" "NL" 118
"197" "FP6" "EE" "Others" 432
"198" "FP6" "EE" "PL" 100
"199" "FP6" "EE" "PT" 40
"200" "FP6" "EE" "RO" 51
"201" "FP6" "EE" "SE" 143
"202" "FP6" "EE" "SI" 56
"203" "FP6" "EE" "SK" 48
"204" "FP6" "EE" "UK" 263
"205" "FP6" "EL" "EL" 1618
"206" "FP6" "EL" "ES" 1521
"207" "FP6" "EL" "FI" 433
"208" "FP6" "EL" "FR" 2116
"209" "FP6" "EL" "HR" 73
"210" "FP6" "EL" "HU" 296
"211" "FP6" "EL" "IE" 257
"212" "FP6" "EL" "IT" 2152
"213" "FP6" "EL" "LT" 82
"214" "FP6" "EL" "LU" 37
"215" "FP6" "EL" "LV" 65
"216" "FP6" "EL" "MT" 46
"217" "FP6" "EL" "NL" 980
"218" "FP6" "EL" "Others" 2940
"219" "FP6" "EL" "PL" 454
"220" "FP6" "EL" "PT" 461
"221" "FP6" "EL" "RO" 369
"222" "FP6" "EL" "SE" 691
"223" "FP6" "EL" "SI" 174
"224" "FP6" "EL" "SK" 116
"225" "FP6" "EL" "UK" 2007
"226" "FP6" "ES" "ES" 4840
"227" "FP6" "ES" "FI" 841
"228" "FP6" "ES" "FR" 4708
"229" "FP6" "ES" "HR" 84
"230" "FP6" "ES" "HU" 736
"231" "FP6" "ES" "IE" 506
"232" "FP6" "ES" "IT" 4249
"233" "FP6" "ES" "LT" 154
"234" "FP6" "ES" "LU" 33
"235" "FP6" "ES" "LV" 114
"236" "FP6" "ES" "MT" 111
"237" "FP6" "ES" "NL" 2142
"238" "FP6" "ES" "Others" 5062
"239" "FP6" "ES" "PL" 1256
"240" "FP6" "ES" "PT" 1006
"241" "FP6" "ES" "RO" 459
"242" "FP6" "ES" "SE" 1610
"243" "FP6" "ES" "SI" 372
"244" "FP6" "ES" "SK" 237
"245" "FP6" "ES" "UK" 4551
"246" "FP6" "FI" "FI" 731
"247" "FP6" "FI" "FR" 1186
"248" "FP6" "FI" "HR" 27
"249" "FP6" "FI" "HU" 250
"250" "FP6" "FI" "IE" 181
"251" "FP6" "FI" "IT" 1053
"252" "FP6" "FI" "LT" 78
"253" "FP6" "FI" "LU" 20
"254" "FP6" "FI" "LV" 70
"255" "FP6" "FI" "MT" 11
"256" "FP6" "FI" "NL" 723
"257" "FP6" "FI" "Others" 1544
"258" "FP6" "FI" "PL" 374
"259" "FP6" "FI" "PT" 203
"260" "FP6" "FI" "RO" 129
"261" "FP6" "FI" "SE" 755
"262" "FP6" "FI" "SI" 113
"263" "FP6" "FI" "SK" 97
"264" "FP6" "FI" "UK" 1412
"265" "FP6" "FR" "FR" 11291
"266" "FP6" "FR" "HR" 117
"267" "FP6" "FR" "HU" 1065
"268" "FP6" "FR" "IE" 755
"269" "FP6" "FR" "IT" 6807
"270" "FP6" "FR" "LT" 225
"271" "FP6" "FR" "LU" 91
"272" "FP6" "FR" "LV" 171
"273" "FP6" "FR" "MT" 79
"274" "FP6" "FR" "NL" 3534
"275" "FP6" "FR" "Others" 8478
"276" "FP6" "FR" "PL" 1637
"277" "FP6" "FR" "PT" 1282
"278" "FP6" "FR" "RO" 661
"279" "FP6" "FR" "SE" 2668
"280" "FP6" "FR" "SI" 551
"281" "FP6" "FR" "SK" 330
"282" "FP6" "FR" "UK" 7853
"283" "FP6" "HR" "HR" 27
"284" "FP6" "HR" "HU" 36
"285" "FP6" "HR" "IE" 12
"286" "FP6" "HR" "IT" 98
"287" "FP6" "HR" "LT" 11
"288" "FP6" "HR" "LU" 3
"289" "FP6" "HR" "LV" 12
"290" "FP6" "HR" "MT" 2
"291" "FP6" "HR" "NL" 57
"292" "FP6" "HR" "Others" 302
"293" "FP6" "HR" "PL" 52
"294" "FP6" "HR" "PT" 28
"295" "FP6" "HR" "RO" 42
"296" "FP6" "HR" "SE" 37
"297" "FP6" "HR" "SI" 38
"298" "FP6" "HR" "SK" 20
"299" "FP6" "HR" "UK" 85
"300" "FP6" "HU" "HU" 499
"301" "FP6" "HU" "IE" 99
"302" "FP6" "HU" "IT" 800
"303" "FP6" "HU" "LT" 80
"304" "FP6" "HU" "LU" 14
"305" "FP6" "HU" "LV" 67
"306" "FP6" "HU" "MT" 49
"307" "FP6" "HU" "NL" 493
"308" "FP6" "HU" "Others" 1016
"309" "FP6" "HU" "PL" 329
"310" "FP6" "HU" "PT" 177
"311" "FP6" "HU" "RO" 179
"312" "FP6" "HU" "SE" 308
"313" "FP6" "HU" "SI" 160
"314" "FP6" "HU" "SK" 153
"315" "FP6" "HU" "UK" 857
"316" "FP6" "IE" "IE" 271
"317" "FP6" "IE" "IT" 621
"318" "FP6" "IE" "LT" 36
"319" "FP6" "IE" "LU" 15
"320" "FP6" "IE" "LV" 26
"321" "FP6" "IE" "MT" 17
"322" "FP6" "IE" "NL" 484
"323" "FP6" "IE" "Others" 894
"324" "FP6" "IE" "PL" 209
"325" "FP6" "IE" "PT" 183
"326" "FP6" "IE" "RO" 63
"327" "FP6" "IE" "SE" 272
"328" "FP6" "IE" "SI" 64
"329" "FP6" "IE" "SK" 48
"330" "FP6" "IE" "UK" 957
"331" "FP6" "IT" "IT" 8148
"332" "FP6" "IT" "LT" 241
"333" "FP6" "IT" "LU" 80
"334" "FP6" "IT" "LV" 164
"335" "FP6" "IT" "MT" 110
"336" "FP6" "IT" "NL" 2891
"337" "FP6" "IT" "Others" 7010
"338" "FP6" "IT" "PL" 1603
"339" "FP6" "IT" "PT" 1197
"340" "FP6" "IT" "RO" 682
"341" "FP6" "IT" "SE" 2198
"342" "FP6" "IT" "SI" 469
"343" "FP6" "IT" "SK" 340
"344" "FP6" "IT" "UK" 6149
"345" "FP6" "LT" "LT" 121
"346" "FP6" "LT" "LU" 7
"347" "FP6" "LT" "LV" 57
"348" "FP6" "LT" "MT" 15
"349" "FP6" "LT" "NL" 90
"350" "FP6" "LT" "Others" 273
"351" "FP6" "LT" "PL" 105
"352" "FP6" "LT" "PT" 36
"353" "FP6" "LT" "RO" 49
"354" "FP6" "LT" "SE" 85
"355" "FP6" "LT" "SI" 54
"356" "FP6" "LT" "SK" 50
"357" "FP6" "LT" "UK" 239
"358" "FP6" "LU" "LU" 49
"359" "FP6" "LU" "LV" 6
"360" "FP6" "LU" "MT" 1
"361" "FP6" "LU" "NL" 41
"362" "FP6" "LU" "Others" 118
"363" "FP6" "LU" "PL" 37
"364" "FP6" "LU" "PT" 15
"365" "FP6" "LU" "RO" 12
"366" "FP6" "LU" "SE" 27
"367" "FP6" "LU" "SI" 19
"368" "FP6" "LU" "SK" 15
"369" "FP6" "LU" "UK" 81
"370" "FP6" "LV" "LV" 30
"371" "FP6" "LV" "MT" 12
"372" "FP6" "LV" "NL" 84
"373" "FP6" "LV" "Others" 220
"374" "FP6" "LV" "PL" 81
"375" "FP6" "LV" "PT" 43
"376" "FP6" "LV" "RO" 40
"377" "FP6" "LV" "SE" 72
"378" "FP6" "LV" "SI" 45
"379" "FP6" "LV" "SK" 38
"380" "FP6" "LV" "UK" 125
"381" "FP6" "MT" "MT" 17
"382" "FP6" "MT" "NL" 37
"383" "FP6" "MT" "Others" 262
"384" "FP6" "MT" "PL" 35
"385" "FP6" "MT" "PT" 24
"386" "FP6" "MT" "RO" 33
"387" "FP6" "MT" "SE" 25
"388" "FP6" "MT" "SI" 18
"389" "FP6" "MT" "SK" 21
"390" "FP6" "MT" "UK" 63
"391" "FP6" "NL" "NL" 3216
"392" "FP6" "NL" "Others" 4541
"393" "FP6" "NL" "PL" 1006
"394" "FP6" "NL" "PT" 630
"395" "FP6" "NL" "RO" 287
"396" "FP6" "NL" "SE" 1497
"397" "FP6" "NL" "SI" 294
"398" "FP6" "NL" "SK" 219
"399" "FP6" "NL" "UK" 4158
"400" "FP6" "Others" "Others" 15720
"401" "FP6" "PL" "Others" 1676
"402" "FP6" "PL" "PL" 914
"403" "FP6" "PL" "PT" 281
"404" "FP6" "PL" "RO" 220
