Organisation;Number of project
1;"ALL-UKRAINIAN CHARITABLE ORGANIZATION ""MUNICIPAL DEVELOPMENT INSTITUTE""";1
2;"ASSOCIATION ""NATIONAL CENTRE FOR SUPERCOMPUTING APPLICATIONS";1
3;"Fondacija za promovisanje nauke ""PRONA""";1
4;"HELLENIC RESEARCH AND EDUCATIONAL INSTITUTE ""PANOS MYLANOS"" FOR THE ROAD SAFETY AND THE PREVENTION/REDUCATION OF TRAFFIC ACCIDENTS";1
5;"INSTITUTUL NATIONAL DE CERCETARE -DEZVOLTARE PENTRU FIZICA SI INGINERIE NUCLEARA ""HORIA HULUBEI"" (IFIN-HH)";6
6;"INSTITUTUL NATIONAL PENTRU STUDIEREA HOLOCAUSTULUI DIN ROMANIA ""ELIE WIESEL""";1
7;"Istituto Nazionale di Alta Matematica ""Francesco Severi""";1
8;"NATIONAL CENTER FOR SCIENTIFIC RESEARCH ""DEMOKRITOS""";4
9;"NATIONAL RESEARCH NUCLEAR UNIVERSITY ""MEPhI""";1
10;"PRZEDSIEBIORSTWO ROBOT ELEWACYJNYCH ""FASADA"" SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA";2
11;"Stowarzyszenie Grupy Przedsiebiorcow Przemyslu Lotniczego ""Dolina Lotnicza""";2
12;01WIRING SRL;1
13;13 BIS CONSULTING;1
14;1928DIAGNOSTICS AB;1
15;1D3A ANALOGICO Y DIGITAL SL;1
16;2 DEGREES LIMITED;1
17;2 VEGAN NATURAL MACHINES S.L.;1
18;2.-O LCA CONSULTANTS APS;1
19;21C CONSULTANCY LIMITED;1
20;220 ENERGIA OU;1
21;2M Engineering Limited;2
22;3C PRECON GMBH;1
23;3D-Micromac AG;1
24;3D REPO LTD;1
25;3DCERAM;1
26;3DELING SP ZOO;1
27;3DKREAFORM;1
28;3E N.V.;4
29;3M DEUTSCHLAND GMBH;1
30;3RDPLACE SRL;1
31;3S ANTRIEBE GMBH;1
32;3S UNTERNEHMENSBERATUNG GMBH;2
33;4A ENGINEERING GMBH;1
34;4D INGENIEURGESELLSCHAFT FUR TECHNISCHE DIENSTLEISTUNGEN MBH;1
35;4MOTION ASBL;1
36;4SC DISCOVERY GMBH;1
37;4WARD ENERGY RESEARCH GMBH;1
38;52°North Initiative for Geospatial Open Source Software GmbH;4
39;6WIND;1
40;8 B SRL;1
41;A-ETC SRO;1
42;A-SYST SA;1
43;Össur hf;1
44;ÖSTERREICHISCHE AGENTUR FUR WISSENSCHAFTLICHE INTEGRITAT;1
45;A & Z ACOUSTICS SRO;1
46;A L TOZER LTD;1
47;A TLC SRL;1
48;A&A BIOTECHNOLOGY SC;1
49;A. + E. UNGRICHT GMBH + CO KG;1
50;A. Silva Matos - Energia, SA;1
51;A. SPEISER-ENVIRONMENTAL CONSULTANTS CC;1
52;A.D.S. INTERNATIONAL SRL;1
53;A.D.V.I.D. ASSOCIACAO PARA O DESENVOLVIMENTO DA VITICULTURA DURIENSE;1
