id;Org1;Org2;nbLinkTmp;Org
267810;PIXIUM VISION;TARTU ULIKOOL;1;PIXIUM VISION
380010;PIXIUM VISION;Teknologian tutkimuskeskus VTT Oy;1;PIXIUM VISION
741210;PIXIUM VISION;UNIVERSITAET BREMEN;1;PIXIUM VISION
793610;PIXIUM VISION;UNIVERSITE PIERRE ET MARIE CURIE - PARIS 6;1;PIXIUM VISION
1471810;PIXIUM VISION;UNIVERSITE CATHOLIQUE DE LOUVAIN;1;PIXIUM VISION
1877810;PIXIUM VISION;STICHTING KATHOLIEKE UNIVERSITEIT;1;PIXIUM VISION
1904910;PIXIUM VISION;UNIVERSITAET ULM;1;PIXIUM VISION
200791;PIXIUM VISION;TECHNISCHE UNIVERSITAET WIEN;1;PIXIUM VISION
213371;PIXIUM VISION;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD;1;PIXIUM VISION
272401;PIXIUM VISION;UNIVERSIDAD DE ZARAGOZA;1;PIXIUM VISION
278001;PIXIUM VISION;POLITECNICO DI TORINO;1;PIXIUM VISION
283261;PIXIUM VISION;TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY;1;PIXIUM VISION
328361;PIXIUM VISION;QUEEN MARY UNIVERSITY OF LONDON;1;PIXIUM VISION
332691;PIXIUM VISION;THE UNIVERSITY OF SHEFFIELD;1;PIXIUM VISION
359571;PIXIUM VISION;UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN;1;PIXIUM VISION
374121;PIXIUM VISION;UNIVERSIDADE DO MINHO;1;PIXIUM VISION
409011;PIXIUM VISION;UNIVERSITA DI PISA;1;PIXIUM VISION
436191;PIXIUM VISION;UNIVERSITY COLLEGE LONDON;1;PIXIUM VISION
444781;PIXIUM VISION;THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN;1;PIXIUM VISION
475601;PIXIUM VISION;UNIVERSITAET ZUERICH;1;PIXIUM VISION
480791;PIXIUM VISION;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE;1;PIXIUM VISION
497951;PIXIUM VISION;UNIWERSYTET WARSZAWSKI;1;PIXIUM VISION
515261;PIXIUM VISION;UNIVERSIDAD DE CASTILLA - LA MANCHA;1;PIXIUM VISION
520271;PIXIUM VISION;RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN;1;PIXIUM VISION
530921;PIXIUM VISION;TECHNISCHE UNIVERSITAET DRESDEN;1;PIXIUM VISION
534971;PIXIUM VISION;UNIVERSITA DEGLI STUDI DI PADOVA;1;PIXIUM VISION
556611;PIXIUM VISION;POLITECNICO DI MILANO;1;PIXIUM VISION
561461;PIXIUM VISION;TECHNISCHE UNIVERSITAET MUENCHEN;1;PIXIUM VISION
579441;PIXIUM VISION;THE UNIVERSITY OF NOTTINGHAM;1;PIXIUM VISION
595511;PIXIUM VISION;UNIVERSITAET BIELEFELD;1;PIXIUM VISION
601461;PIXIUM VISION;UNIVERSITAT BASEL;1;PIXIUM VISION
610461;PIXIUM VISION;THE UNIVERSITY OF MANCHESTER;1;PIXIUM VISION
634501;PIXIUM VISION;UNIVERSITE LIBRE DE BRUXELLES;1;PIXIUM VISION
651161;PIXIUM VISION;UNIVERSITAET HAMBURG;1;PIXIUM VISION
705981;PIXIUM VISION;RIJKSUNIVERSITEIT GRONINGEN;1;PIXIUM VISION
729212;PIXIUM VISION;UNIVERSITAT AUTONOMA DE BARCELONA;1;PIXIUM VISION
808571;PIXIUM VISION;SELEX ES SPA;1;PIXIUM VISION
