country1;country2;nbLinkTmp;frameworkContract
1;Austria;Belgium;495;FP6
2;Austria;France;718;FP6
3;Belgium;France;1214;FP6
4;Finland;France;597;FP6
5;Cyprus;France;109;FP6
6;Czech Republic;France;537;FP6
7;Denmark;France;642;FP6
8;Bulgaria;France;183;FP6
9;Croatia;France;60;FP6
10;Estonia;France;162;FP6
11;Austria;Germany;990;FP6
12;Belgium;Germany;1360;FP6
13;France;Germany;2388;FP6
14;Finland;Germany;762;FP6
15;Cyprus;Germany;126;FP6
16;Czech Republic;Germany;668;FP6
17;Denmark;Germany;788;FP6
18;Bulgaria;Germany;243;FP6
19;Croatia;Germany;74;FP6
20;Estonia;Germany;210;FP6
21;Austria;Italy;711;FP6
22;Belgium;Italy;1107;FP6
23;France;Italy;1850;FP6
24;Germany;Italy;2168;FP6
25;Greece;Italy;866;FP6
26;Ireland;Italy;364;FP6
27;Finland;Italy;568;FP6
28;Hungary;Italy;529;FP6
29;Cyprus;Italy;126;FP6
30;Czech Republic;Italy;509;FP6
31;Denmark;Italy;585;FP6
32;Bulgaria;Italy;206;FP6
33;Croatia;Italy;66;FP6
34;Estonia;Italy;167;FP6
35;Austria;United Kingdom;782;FP6
36;Belgium;United Kingdom;1258;FP6
37;France;United Kingdom;2161;FP6
38;Germany;United Kingdom;2579;FP6
39;Italy;United Kingdom;1962;FP6
40;Greece;United Kingdom;923;FP6
41;Ireland;United Kingdom;492;FP6
42;Spain;United Kingdom;1697;FP6
43;Finland;United Kingdom;678;FP6
44;Poland;United Kingdom;892;FP6
45;Hungary;United Kingdom;564;FP6
46;Portugal;United Kingdom;558;FP6
47;Sweden;United Kingdom;1144;FP6
48;Netherlands;United Kingdom;1594;FP6
49;Cyprus;United Kingdom;119;FP6
50;Czech Republic;United Kingdom;602;FP6
51;Romania;United Kingdom;268;FP6
52;Denmark;United Kingdom;774;FP6
53;Lithuania;United Kingdom;164;FP6
54;Slovenia;United Kingdom;309;FP6
55;Bulgaria;United Kingdom;219;FP6
56;Croatia;United Kingdom;69;FP6
57;Slovakia;United Kingdom;221;FP6
58;Latvia;United Kingdom;117;FP6
59;Estonia;United Kingdom;200;FP6
60;Malta;United Kingdom;65;FP6
61;Luxembourg;United Kingdom;61;FP6
62;Austria;Greece;377;FP6
63;Belgium;Greece;546;FP6
64;France;Greece;888;FP6
65;Germany;Greece;1006;FP6
66;Finland;Greece;309;FP6
67;Cyprus;Greece;130;FP6
68;Czech Republic;Greece;251;FP6
69;Denmark;Greece;321;FP6
70;Bulgaria;Greece;170;FP6
71;Croatia;Greece;51;FP6
72;Estonia;Greece;94;FP6
73;Austria;Ireland;190;FP6
74;Belgium;Ireland;282;FP6
75;France;Ireland;387;FP6
76;Germany;Ireland;454;FP6
77;Greece;Ireland;215;FP6
78;Finland;Ireland;174;FP6
79;Hungary;Ireland;134;FP6
80;Cyprus;Ireland;37;FP6
81;Czech Republic;Ireland;118;FP6
82;Denmark;Ireland;176;FP6
83;Bulgaria;Ireland;68;FP6
84;Croatia;Ireland;19;FP6
85;Estonia;Ireland;62;FP6
86;Austria;Spain;602;FP6
87;Belgium;Spain;938;FP6
88;France;Spain;1584;FP6
89;Germany;Spain;1814;FP6
90;Italy;Spain;1511;FP6
91;Greece;Spain;749;FP6
92;Ireland;Spain;341;FP6
93;Finland;Spain;498;FP6
94;Poland;Spain;711;FP6
95;Hungary;Spain;460;FP6
96;Portugal;Spain;495;FP6
97;Netherlands;Spain;1105;FP6
98;Cyprus;Spain;109;FP6
99;Czech Republic;Spain;467;FP6
100;Romania;Spain;239;FP6
101;Denmark;Spain;541;FP6
102;Lithuania;Spain;120;FP6
103;Slovenia;Spain;266;FP6
104;Bulgaria;Spain;180;FP6
105;Croatia;Spain;54;FP6
106;Slovakia;Spain;175;FP6
107;Latvia;Spain;89;FP6
108;Estonia;Spain;153;FP6
109;Malta;Spain;65;FP6
110;Luxembourg;Spain;37;FP6
111;Austria;Finland;298;FP6
112;Belgium;Finland;411;FP6
113;Cyprus;Finland;48;FP6
114;Czech Republic;Finland;216;FP6
115;Denmark;Finland;299;FP6
116;Bulgaria;Finland;90;FP6
117;Croatia;Finland;30;FP6
118;Estonia;Finland;109;FP6
119;Austria;Poland;380;FP6
120;Belgium;Poland;519;FP6
121;France;Poland;787;FP6
122;Germany;Poland;1007;FP6
123;Italy;Poland;779;FP6
124;Greece;Poland;405;FP6
125;Ireland;Poland;207;FP6
126;Finland;Poland;302;FP6
127;Hungary;Poland;324;FP6
128;Netherlands;Poland;623;FP6
129;Cyprus;Poland;88;FP6
130;Czech Republic;Poland;304;FP6
131;Denmark;Poland;332;FP6
132;Lithuania;Poland;128;FP6
133;Bulgaria;Poland;157;FP6
134;Croatia;Poland;55;FP6
135;Latvia;Poland;113;FP6
136;Estonia;Poland;139;FP6
137;Malta;Poland;52;FP6
138;Luxembourg;Poland;31;FP6
139;Austria;Hungary;297;FP6
140;Belgium;Hungary;356;FP6
141;France;Hungary;524;FP6
142;Germany;Hungary;639;FP6
143;Greece;Hungary;261;FP6
144;Finland;Hungary;212;FP6
145;Cyprus;Hungary;65;FP6
146;Czech Republic;Hungary;236;FP6
147;Denmark;Hungary;208;FP6
148;Bulgaria;Hungary;134;FP6
149;Croatia;Hungary;42;FP6
150;Estonia;Hungary;97;FP6
151;Austria;Portugal;206;FP6
152;Belgium;Portugal;335;FP6
153;France;Portugal;533;FP6
154;Germany;Portugal;577;FP6
155;Italy;Portugal;509;FP6
156;Greece;Portugal;302;FP6
157;Ireland;Portugal;144;FP6
158;Finland;Portugal;185;FP6
159;Poland;Portugal;269;FP6
160;Hungary;Portugal;177;FP6
161;Netherlands;Portugal;385;FP6
162;Cyprus;Portugal;67;FP6
163;Czech Republic;Portugal;168;FP6
164;Denmark;Portugal;205;FP6
165;Lithuania;Portugal;51;FP6
166;Bulgaria;Portugal;83;FP6
167;Croatia;Portugal;34;FP6
168;Latvia;Portugal;50;FP6
169;Estonia;Portugal;65;FP6
170;Malta;Portugal;37;FP6
171;Luxembourg;Portugal;22;FP6
172;Austria;Sweden;430;FP6
173;Belgium;Sweden;652;FP6
174;France;Sweden;1030;FP6
175;Germany;Sweden;1244;FP6
176;Italy;Sweden;915;FP6
177;Greece;Sweden;433;FP6
178;Ireland;Sweden;245;FP6
179;Spain;Sweden;822;FP6
180;Finland;Sweden;440;FP6
181;Poland;Sweden;476;FP6
182;Hungary;Sweden;298;FP6
183;Portugal;Sweden;302;FP6
184;Netherlands;Sweden;810;FP6
185;Cyprus;Sweden;51;FP6
186;Czech Republic;Sweden;308;FP6
187;Romania;Sweden;143;FP6
188;Denmark;Sweden;463;FP6
189;Lithuania;Sweden;90;FP6
190;Slovenia;Sweden;166;FP6
191;Bulgaria;Sweden;105;FP6
192;Croatia;Sweden;37;FP6
193;Slovakia;Sweden;122;FP6
194;Latvia;Sweden;76;FP6
195;Estonia;Sweden;136;FP6
196;Malta;Sweden;31;FP6
197;Luxembourg;Sweden;26;FP6
198;Austria;Netherlands;600;FP6
