"TIME","GEO","SECTPERF","UNIT","Value"
"2003","Belgium","All sectors","Million euro","5 177.444"
"2003","Belgium","Business enterprise sector","Million euro","3 607.892"
"2003","Belgium","Government sector","Million euro","354.449"
"2003","Belgium","Higher education sector","Million euro","1 150.011"
"2003","Belgium","Private non-profit sector","Million euro","65.092"
"2003","Bulgaria","All sectors","Million euro","88.769"
"2003","Bulgaria","Business enterprise sector","Million euro","17.722"
"2003","Bulgaria","Government sector","Million euro","62.237"
"2003","Bulgaria","Higher education sector","Million euro","8.589"
"2003","Bulgaria","Private non-profit sector","Million euro","0.226"
"2003","Czech Republic","All sectors","Million euro","1 012.579"
"2003","Czech Republic","Business enterprise sector","Million euro","617.595"
"2003","Czech Republic","Government sector","Million euro","236.29"
"2003","Czech Republic","Higher education sector","Million euro","154.545"
"2003","Czech Republic","Private non-profit sector","Million euro","4.15"
"2003","Denmark","All sectors","Million euro","4 854.805"
"2003","Denmark","Business enterprise sector","Million euro","3 354.84"
"2003","Denmark","Government sector","Million euro","340.143"
"2003","Denmark","Higher education sector","Million euro","1 126.858"
"2003","Denmark","Private non-profit sector","Million euro","32.965"
"2003","Germany","All sectors","Million euro","54 538.5"
"2003","Germany","Business enterprise sector","Million euro","38 029"
"2003","Germany","Government sector","Million euro","7 307.4"
"2003","Germany","Higher education sector","Million euro","9 202.1"
"2003","Germany","Private non-profit sector","Million euro",":"
"2003","Estonia","All sectors","Million euro","66.864"
"2003","Estonia","Business enterprise sector","Million euro","22.657"
"2003","Estonia","Government sector","Million euro","10.539"
"2003","Estonia","Higher education sector","Million euro","31.598"
"2003","Estonia","Private non-profit sector","Million euro","2.071"
"2003","Ireland","All sectors","Million euro","1 636.8"
"2003","Ireland","Business enterprise sector","Million euro","1 105"
"2003","Ireland","Government sector","Million euro","127.4"
"2003","Ireland","Higher education sector","Million euro","404.4"
"2003","Ireland","Private non-profit sector","Million euro",":"
"2003","Greece","All sectors","Million euro","977.78"
"2003","Greece","Business enterprise sector","Million euro","313.49"
"2003","Greece","Government sector","Million euro","198.39"
"2003","Greece","Higher education sector","Million euro","456.77"
"2003","Greece","Private non-profit sector","Million euro","9.13"
"2003","Spain","All sectors","Million euro","8 213.036"
"2003","Spain","Business enterprise sector","Million euro","4 443.438"
"2003","Spain","Government sector","Million euro","1 261.763"
"2003","Spain","Higher education sector","Million euro","2 491.959"
"2003","Spain","Private non-profit sector","Million euro","15.873"
"2003","France","All sectors","Million euro","34 569.095"
"2003","France","Business enterprise sector","Million euro","21 646.182"
"2003","France","Government sector","Million euro","5 766.558"
"2003","France","Higher education sector","Million euro","6 692.93"
"2003","France","Private non-profit sector","Million euro","463.425"
"2003","Croatia","All sectors","Million euro","291.856"
"2003","Croatia","Business enterprise sector","Million euro","114.153"
"2003","Croatia","Government sector","Million euro","64.079"
"2003","Croatia","Higher education sector","Million euro","113.624"
"2003","Croatia","Private non-profit sector","Million euro",":"
"2003","Italy","All sectors","Million euro","14 769"
"2003","Italy","Business enterprise sector","Million euro","6 979"
"2003","Italy","Government sector","Million euro","2 582"
"2003","Italy","Higher education sector","Million euro","5 000"
"2003","Italy","Private non-profit sector","Million euro","208"
"2003","Cyprus","All sectors","Million euro","40.974"
"2003","Cyprus","Business enterprise sector","Million euro","8.8"
"2003","Cyprus","Government sector","Million euro","15.586"
"2003","Cyprus","Higher education sector","Million euro","13.434"
"2003","Cyprus","Private non-profit sector","Million euro","3.154"
"2003","Latvia","All sectors","Million euro","37.726"
"2003","Latvia","Business enterprise sector","Million euro","12.955"
"2003","Latvia","Government sector","Million euro","8.819"
"2003","Latvia","Higher education sector","Million euro","15.952"
"2003","Latvia","Private non-profit sector","Million euro","0"
"2003","Lithuania","All sectors","Million euro","110.577"
"2003","Lithuania","Business enterprise sector","Million euro","23.228"
"2003","Lithuania","Government sector","Million euro","29.223"
"2003","Lithuania","Higher education sector","Million euro","58.127"
"2003","Lithuania","Private non-profit sector","Million euro",":"
"2003","Luxembourg","All sectors","Million euro","425.8"
"2003","Luxembourg","Business enterprise sector","Million euro","379.4"
"2003","Luxembourg","Government sector","Million euro","44.9"
"2003","Luxembourg","Higher education sector","Million euro","1.5"
"2003","Luxembourg","Private non-profit sector","Million euro",":"
"2003","Hungary","All sectors","Million euro","693.056"
"2003","Hungary","Business enterprise sector","Million euro","254.576"
"2003","Hungary","Government sector","Million euro","217.219"
"2003","Hungary","Higher education sector","Million euro","185.207"
"2003","Hungary","Private non-profit sector","Million euro",":"
"2003","Malta","All sectors","Million euro","11.453"
"2003","Malta","Business enterprise sector","Million euro","3.521"
"2003","Malta","Government sector","Million euro","0.798"
"2003","Malta","Higher education sector","Million euro","7.135"
"2003","Malta","Private non-profit sector","Million euro","0"
"2003","Netherlands","All sectors","Million euro","9 148"
"2003","Netherlands","Business enterprise sector","Million euro","4 804"
"2003","Netherlands","Government sector","Million euro","1 216"
"2003","Netherlands","Higher education sector","Million euro","3 126"
"2003","Netherlands","Private non-profit sector","Million euro",":"
"2003","Austria","All sectors","Million euro","5 041.98"
"2003","Austria","Business enterprise sector","Million euro",":"
"2003","Austria","Government sector","Million euro",":"
"2003","Austria","Higher education sector","Million euro",":"
"2003","Austria","Private non-profit sector","Million euro",":"
"2003","Poland","All sectors","Million euro","1 036.049"
"2003","Poland","Business enterprise sector","Million euro","284.049"
"2003","Poland","Government sector","Million euro","421.334"
"2003","Poland","Higher education sector","Million euro","328.644"
"2003","Poland","Private non-profit sector","Million euro","2.023"
"2003","Portugal","All sectors","Million euro","1 019.581"
"2003","Portugal","Business enterprise sector","Million euro","338.038"
"2003","Portugal","Government sector","Million euro","172.045"
"2003","Portugal","Higher education sector","Million euro","391.797"
"2003","Portugal","Private non-profit sector","Million euro","117.7"
"2003","Romania","All sectors","Million euro","202.941"
"2003","Romania","Business enterprise sector","Million euro","118.072"
"2003","Romania","Government sector","Million euro","65.156"
"2003","Romania","Higher education sector","Million euro","19.126"
"2003","Romania","Private non-profit sector","Million euro","0.588"
"2003","Slovenia","All sectors","Million euro","327.559"
"2003","Slovenia","Business enterprise sector","Million euro","209.383"
"2003","Slovenia","Government sector","Million euro","72.442"
"2003","Slovenia","Higher education sector","Million euro","44.887"
"2003","Slovenia","Private non-profit sector","Million euro","0.847"
"2003","Slovakia","All sectors","Million euro","169.103"
"2003","Slovakia","Business enterprise sector","Million euro","93.349"
"2003","Slovakia","Government sector","Million euro","53.459"
"2003","Slovakia","Higher education sector","Million euro","22.247"
"2003","Slovakia","Private non-profit sector","Million euro","0.048"
"2003","Finland","All sectors","Million euro","5 005.018"
"2003","Finland","Business enterprise sector","Million euro","3 527.926"
"2003","Finland","Government sector","Million euro","485.2"
"2003","Finland","Higher education sector","Million euro","961.692"
"2003","Finland","Private non-profit sector","Million euro","30.2"
"2003","Sweden","All sectors","Million euro","10 606.19"
"2003","Sweden","Business enterprise sector","Million euro","7 885.952"
"2003","Sweden","Government sector","Million euro","370.663"
"2003","Sweden","Higher education sector","Million euro","2 308.367"
"2003","Sweden","Private non-profit sector","Million euro","41.209"
"2003","United Kingdom","All sectors","Million euro","28 754.48"
"2003","United Kingdom","Business enterprise sector","Million euro","18 319.075"
"2003","United Kingdom","Government sector","Million euro","2 988.006"
"2003","United Kingdom","Higher education sector","Million euro","6 914.017"
"2003","United Kingdom","Private non-profit sector","Million euro","533.382"
"2004","Belgium","All sectors","Million euro","5 403.617"
"2004","Belgium","Business enterprise sector","Million euro","3 731.814"
"2004","Belgium","Government sector","Million euro","418.592"
"2004","Belgium","Higher education sector","Million euro","1 175.707"
"2004","Belgium","Private non-profit sector","Million euro","77.505"
"2004","Bulgaria","All sectors","Million euro","99.319"
"2004","Bulgaria","Business enterprise sector","Million euro","23.55"
"2004","Bulgaria","Government sector","Million euro","66.554"
"2004","Bulgaria","Higher education sector","Million euro","9.215"
"2004","Bulgaria","Private non-profit sector","Million euro","0.512"
"2004","Czech Republic","All sectors","Million euro","1 100.092"
"2004","Czech Republic","Business enterprise sector","Million euro","686.739"
"2004","Czech Republic","Government sector","Million euro","246.728"
"2004","Czech Republic","Higher education sector","Million euro","162.466"
"2004","Czech Republic","Private non-profit sector","Million euro","4.16"
"2004","Denmark","All sectors","Million euro","4 896.923"
"2004","Denmark","Business enterprise sector","Million euro","3 331.819"
"2004","Denmark","Government sector","Million euro","336.105"
"2004","Denmark","Higher education sector","Million euro","1 195.253"
"2004","Denmark","Private non-profit sector","Million euro","33.746"
"2004","Germany","All sectors","Million euro","54 966.9"
"2004","Germany","Business enterprise sector","Million euro","38 363"
"2004","Germany","Government sector","Million euro","7 514.4"
"2004","Germany","Higher education sector","Million euro","9 089.458"
"2004","Germany","Private non-profit sector","Million euro",":"
"2004","Estonia","All sectors","Million euro","82.702"
"2004","Estonia","Business enterprise sector","Million euro","32.224"
"2004","Estonia","Government sector","Million euro","10.967"
"2004","Estonia","Higher education sector","Million euro","37.612"
"2004","Estonia","Private non-profit sector","Million euro","1.898"
"2004","Ireland","All sectors","Million euro","1 840.4"
"2004","Ireland","Business enterprise sector","Million euro","1 210"
"2004","Ireland","Government sector","Million euro","138.4"
"2004","Ireland","Higher education sector","Million euro","492"
"2004","Ireland","Private non-profit sector","Million euro",":"
"2004","Greece","All sectors","Million euro","1 021.47"
"2004","Greece","Business enterprise sector","Million euro","317.37"
"2004","Greece","Government sector","Million euro","202.6"
"2004","Greece","Higher education sector","Million euro","492"
"2004","Greece","Private non-profit sector","Million euro","9.5"
"2004","Spain","All sectors","Million euro","8 945.761"
"2004","Spain","Business enterprise sector","Million euro","4 864.93"
"2004","Spain","Government sector","Million euro","1 427.504"
"2004","Spain","Higher education sector","Million euro","2 641.653"
"2004","Spain","Private non-profit sector","Million euro","11.674"
"2004","France","All sectors","Million euro","35 692.601"
"2004","France","Business enterprise sector","Million euro","22 523.383"
"2004","France","Government sector","Million euro","6 060.096"
"2004","France","Higher education sector","Million euro","6 650.69"
"2004","France","Private non-profit sector","Million euro","458.432"
"2004","Croatia","All sectors","Million euro","344.952"
"2004","Croatia","Business enterprise sector","Million euro","143.663"
"2004","Croatia","Government sector","Million euro","72.165"
"2004","Croatia","Higher education sector","Million euro","129.124"
"2004","Croatia","Private non-profit sector","Million euro",":"
"2004","Italy","All sectors","Million euro","15 253"
"2004","Italy","Business enterprise sector","Million euro","7 293"
"2004","Italy","Government sector","Million euro","2 722"
"2004","Italy","Higher education sector","Million euro","5 005"
"2004","Italy","Private non-profit sector","Million euro","233"
"2004","Cyprus","All sectors","Million euro","46.784"
"2004","Cyprus","Business enterprise sector","Million euro","9.957"
"2004","Cyprus","Government sector","Million euro","16.895"
"2004","Cyprus","Higher education sector","Million euro","16.471"
"2004","Cyprus","Private non-profit sector","Million euro","3.462"
"2004","Latvia","All sectors","Million euro","46.707"
"2004","Latvia","Business enterprise sector","Million euro","20.776"
"2004","Latvia","Government sector","Million euro","9.08"
"2004","Latvia","Higher education sector","Million euro","16.837"
"2004","Latvia","Private non-profit sector","Million euro","0"
"2004","Lithuania","All sectors","Million euro","136.903"
"2004","Lithuania","Business enterprise sector","Million euro","29.339"
"2004","Lithuania","Government sector","Million euro","33.741"
"2004","Lithuania","Higher education sector","Million euro","73.824"
"2004","Lithuania","Private non-profit sector","Million euro",":"
"2004","Luxembourg","All sectors","Million euro","447.7"
"2004","Luxembourg","Business enterprise sector","Million euro","393"
"2004","Luxembourg","Government sector","Million euro","49.2"
