Country;all;II...In.house.lobbyists.and.trade.business.professional.associations;III...Non.governmental.organisations;I...Professional.consultancies.law.firms.self.employed.consultants;VI...Organisations.representing.local..regional.and.municipal.authorities..other.public.or.mixed.entities..etc.;IV...Think.tanks..research.and.academic.institutions;V...Organisations.representing.churches.and.religious.communities;Companies...groups;Non.governmental.organisations..platforms.and.networks.and.similar;Trade.and.business.associations;Professional.consultancies;Other.sub.national.public.authorities;Self.employed.consultants;Think.tanks.and.research.institutions;Trade.unions.and.professional.associations;Other.organisations;Other.public.or.mixed.entities..created.by.law.whose.purpose.is.to.act.in.the.public.interest;Law.firms;Regional.structures;Transnational.associations.and.networks.of.public.regional.or.other.sub.national.authorities;Organisations.representing.churches.and.religious.communities;Academic.institutions;Audiovisual.and.Media;Climate.Action;Communication;Competition;Consumer.Affairs;Culture;Economic.and.Financial.Affairs;Education;Employment.and.Social.Affairs;Energy;Enlargement;Enterprise;Environment;External.Relations;Foreign.and.Security.Policy.and.Defence;General.and.Institutional.Affairs;Home.Affairs;Information.Society;Internal.Market;Justice.and.Fundamental.Rights;Public.Health;Regional.Policy;Research.and.Technology;Taxation;Trade;Trans.European.Networks;Youth;Budget;Customs;Development;Transport;Agriculture.and.Rural.Development;Food.Safety;Fisheries.and.Aquaculture;Humanitarian.Aid;Sport;Financial.Stability..Financial.Services.and.Capital.Markets.Union.
SPAIN;668;344;137;82;47;58;NA;110;137;161;54;4;18;41;46;27;24;10;12;7;NA;17;126;246;123;253;213;141;229;213;222;276;58;278;388;177;122;174;78;237;232;149;182;187;353;182;229;190;131;99;117;285;211;188;207;156;87;58;64
GREECE;127;45;36;18;11;17;NA;23;36;15;10;1;6;9;3;4;6;2;2;2;NA;8;29;49;35;49;38;50;42;67;45;55;23;51;78;34;24;34;18;47;52;35;41;53;68;29;33;51;46;21;17;71;41;41;33;25;29;16;21
GERMANY;1379;784;316;112;57;104;6;300;316;351;63;15;34;72;92;41;28;15;3;11;6;32;212;507;284;608;567;236;581;421;401;534;148;613;681;228;153;355;214;464;593;374;355;299;641;373;448;357;201;149;221;466;381;295;257;103;120;81;102
FRANCE;1084;614;211;113;68;76;2;227;211;125;56;15;37;60;223;39;30;20;8;15;2;16;182;346;168;437;365;244;393;267;313;341;119;437;571;219;148;314;160;330;452;287;318;278;435;334;343;238;169;146;183;418;293;281;248;127;119;89;81
NETHERLANDS;607;271;190;67;31;47;1;131;190;107;39;6;27;25;22;11;12;1;11;2;1;22;88;188;92;179;167;91;189;145;139;186;60;166;269;105;80;88;61;170;207;110;151;121;253;111;155;140;73;57;67;199;141;133;125;64;47;29;62
BELGIUM;2089;927;632;316;86;105;23;117;632;626;179;16;110;92;119;65;25;27;26;19;23;13;425;780;419;854;836;476;773;722;829;873;398;1010;1147;584;382;632;431;753;1095;662;789;551;1070;588;823;573;491;354;428;815;637;524;562;238;316;211;175
PORTUGAL;185;93;32;25;16;18;1;34;32;38;18;1;4;9;15;6;9;3;3;3;1;9;34;64;41;71;65;42;77;65;54;82;20;71;101;42;26;44;22;71;74;39;57;55;102;47;64;62;30;30;28;79;71;52;50;36;26;21;15
ITALY;839;380;172;140;50;94;3;139;172;139;75;10;49;67;56;46;22;16;11;7;3;27;207;275;279;309;298;332;292;346;316;347;143;425;477;244;176;247;146;291;309;274;277;291;443;212;272;276;256;132;159;461;260;300;266;168;167;154;101
UNITED KINGDOM;1180;613;281;179;26;78;3;263;281;269;119;8;48;42;47;34;11;12;5;2;3;36;214;386;197;394;367;207;439;266;295;402;111;394;548;215;149;229;171;320;459;277;326;206;498;306;376;232;155;143;159;375;288;244;219;163;143;105;145
SWEDEN;236;123;61;17;19;15;1;51;61;54;9;9;3;9;14;4;5;5;4;1;1;6;38;97;38;89;70;41;67;61;75;96;19;94;118;32;27;38;25;81;116;65;72;50;98;60;67;48;37;25;34;76;79;53;44;28;17;19;24
